,PC1,PC2
Elops_affinis,-0.352207354,0.041349784
Ophichthus_zophochir,-0.018914033,0.021342829
Chitala_ornata,-0.10210882,0.061326646
Harengula_thrissina,-0.260723015,0.051696414
Sardinella_aurita,-0.410040776,-0.028278349
Gonorynchus_greyi,-0.261506449,0.036231837
Pimephales_promelas,-0.054651528,0.020239054
Ancistrus_dolichopterus,-0.123468109,-0.107644521
Ameiurus_nebulosus,-0.201479911,0.030512802
Pylodictis_olivaris,0.283195962,-0.10633803
Glossanodon_semifasciatus,-0.027505694,0.088599603
Oncorhynchus_kisutch,-0.118565505,0.062269316
Cyclothone_microdon,-0.264102587,0.019673254
Synodus_foetens,-0.3126088,0.007772014
Parasudis_truculenta,-0.253160305,0.037213327
Lestidiops_affinis,0.128452659,0.086197717
Uncisudis_advena,-0.192656291,0.063779892
Hygophum_proximum,-0.441061026,-0.066457918
Notolychnus_valdiviae,-0.292841988,-0.027027847
Zenopsis_nebulosa,-0.192343678,-0.043419906
Ciliata_mustela,0.130578907,0.021056233
Pollachius_pollachius,-0.209454335,-0.018264103
Mora_moro,-0.24753221,0.038033005
Bregmaceros_atlanticus,-0.155570151,0.030092303
Bregmaceros_mcclellandi,-0.235845055,0.045734855
Albatrossia_pectoralis,-0.158647243,-0.006604416
Zu_cristatus,-0.141395767,0.029746481
Carapus_dubius,0.088579574,-0.023524361
Genypterus_tigerinus,0.06949467,-0.016647834
Opsanus_tau,0.232644707,0.095010932
Porichthys_notatus,0.185922439,-0.124909748
Calotomus_japonicus,0.180108465,0.130897774
Tautoga_onitis,0.209468052,0.098915335
Ctenolabrus_rupestris,0.033618263,0.070349086
Symphodus_melops,0.191385419,0.029262802
Linophryne_arborifera,0.221155322,-0.132517035
Balistes_capriscus,0.264869528,-0.04408111
Chilomycterus_schoepfii,0.056555177,-0.057566295
Diodon_holocanthus,0.242572716,0.12562669
Diodon_hystrix,0.185192034,0.131971529
Tetraodon_cutcutia,0.132769876,-0.06897823
Tetraodon_palembangensis,-0.032091492,-0.11264746
Monotrete_cochinchinensis,0.219602602,-0.008656728
Tetraodon_turgidus,0.212312168,-0.083271638
Acanthurus_nigroris,-0.242972831,0.027769047
Argyrosomus_regius,-0.084074044,0.035249959
Miichthys_miiuy,-0.02032674,0.060340229
Caulolatilus_microps,-0.288088349,-0.086529255
Lagodon_rhomboides,-0.231924844,0.011625769
Acanthopagrus_australis,-0.343661104,-0.007193769
Ocyurus_chrysurus,-0.222162393,-0.019579577
Lutjanus_peru,-0.194330286,0.039131057
Lutjanus_russellii,-0.336445318,-0.037377932
