Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-5.966228	-5.966228
1	0.950747	750	-5.874760	-11.840987
2	0.926679	750	-5.772884	-17.613871
3	0.902980	750	-5.690230	-23.304101
4	0.879648	750	-5.596070	-28.900171
5	0.856682	750	-5.526118	-34.426290
6	0.834079	750	-5.428373	-39.854662
7	0.811838	750	-5.415388	-45.270051
8	0.789957	750	-5.321479	-50.591530
9	0.768433	750	-5.263698	-55.855228
10	0.747266	750	-5.168384	-61.023612
11	0.726452	750	-4.997073	-66.020686
12	0.705989	750	-4.977974	-70.998659
13	0.685877	750	-4.847842	-75.846502
14	0.666112	750	-4.798570	-80.645071
15	0.646693	750	-4.723494	-85.368565
16	0.627618	750	-4.616532	-89.985097
17	0.608884	750	-4.554597	-94.539694
18	0.590490	750	-4.464539	-99.004233
19	0.572433	750	-4.388593	-103.392827
20	0.554712	750	-4.373764	-107.766590
21	0.537324	750	-4.265037	-112.031628
22	0.520268	750	-4.185710	-116.217337
23	0.503540	750	-4.103499	-120.320836
24	0.487139	750	-4.052196	-124.373032
25	0.471063	750	-3.994257	-128.367289
26	0.455310	750	-3.917605	-132.284893
27	0.439877	750	-3.812013	-136.096906
28	0.424762	750	-3.730853	-139.827760
29	0.409963	750	-3.661337	-143.489097
30	0.395478	750	-3.575659	-147.064755
31	0.381305	750	-3.515142	-150.579897
32	0.367440	750	-3.525325	-154.105222
33	0.353883	750	-3.358037	-157.463260
34	0.340630	750	-3.307377	-160.770637
35	0.327680	750	-3.218454	-163.989091
36	0.315030	750	-3.192613	-167.181703
37	0.302677	750	-3.089593	-170.271297
38	0.290619	750	-3.016177	-173.287473
39	0.278855	750	-2.954419	-176.241893
40	0.267381	750	-2.884065	-179.125958
41	0.256195	750	-2.841299	-181.967257
42	0.245294	750	-2.754873	-184.722130
43	0.234677	750	-2.700172	-187.422302
44	0.224340	750	-2.849146	-190.271448
45	0.214281	750	-2.614174	-192.885623
46	0.204498	750	-2.614296	-195.499919
47	0.194988	750	-2.668167	-198.168086
48	0.185749	750	-2.375608	-200.543694
49	0.176777	750	-2.403564	-202.947258
50	0.168070	750	-2.351539	-205.298797
51	0.159626	750	-2.385028	-207.683825
52	0.151441	750	-2.348573	-210.032398
53	0.143514	750	-2.297773	-212.330171
54	0.135841	750	-2.247354	-214.577525
55	0.128420	750	-2.191123	-216.768648
56	0.121247	750	-1.986298	-218.754947
57	0.114320	750	-2.050564	-220.805510
58	0.107637	750	-1.871183	-222.676694
59	0.101193	750	-1.843967	-224.520661
60	0.094986	750	-1.842200	-226.362861
61	0.089014	750	-1.752247	-228.115108
62	0.083273	750	-1.705166	-229.820274
63	0.077760	750	-1.646923	-231.467197
64	0.072472	750	-1.574768	-233.041964
65	0.067406	750	-1.519126	-234.561091
66	0.062558	750	-1.460056	-236.021147
67	0.057926	750	-1.405372	-237.426519
68	0.053506	750	-1.368048	-238.794567
69	0.049295	750	-1.311130	-240.105697
70	0.045289	750	-1.247217	-241.352914
71	0.041485	750	-1.180028	-242.532942
72	0.037880	750	-1.136527	-243.669469
73	0.034469	750	-1.085860	-244.755329
74	0.031250	750	-1.017960	-245.773289
75	0.028218	750	-0.987792	-246.761081
76	0.025370	750	-0.962676	-247.723757
77	0.022702	750	-0.882409	-248.606165
78	0.020209	750	-0.809920	-249.416085
79	0.017889	750	-0.790340	-250.206425
80	0.015736	750	-0.733149	-250.939573
81	0.013746	750	-0.674058	-251.613631
82	0.011916	750	-0.636020	-252.249651
83	0.010240	750	-0.616780	-252.866432
84	0.008714	750	-0.556699	-253.423131
85	0.007334	750	-0.519807	-253.942938
86	0.006093	750	-0.442573	-254.385512
87	0.004988	750	-0.406762	-254.792274
88	0.004013	750	-0.375103	-255.167377
89	0.003162	750	-0.313154	-255.480531
90	0.002430	750	-0.282372	-255.762903
91	0.001810	750	-0.246371	-256.009274
92	0.001296	750	-0.200343	-256.209617
93	0.000882	750	-0.172623	-256.382240
94	0.000559	750	-0.127294	-256.509534
95	0.000320	750	-0.095528	-256.605062
96	0.000156	750	-0.063354	-256.668416
97	0.000057	750	-0.039540	-256.707956
98	0.000010	750	-0.018637	-256.726593
99	0.000000	750	-0.003851	-256.730444
Log marginal likelihood:	-256.730444
0	0.975187	750	-5.994973	-5.994973
1	0.950747	750	-5.884002	-11.878975
2	0.926679	750	-5.765912	-17.644887
3	0.902980	750	-5.675123	-23.320010
4	0.879648	750	-5.632751	-28.952761
5	0.856682	750	-5.552143	-34.504904
6	0.834079	750	-5.473266	-39.978170
7	0.811838	750	-5.372371	-45.350541
