Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-3.415022	-3.415022
1	0.950747	750	-3.357125	-6.772147
2	0.926679	750	-3.247046	-10.019193
3	0.902980	750	-3.218650	-13.237843
4	0.879648	750	-3.171992	-16.409835
5	0.856682	750	-3.141454	-19.551289
6	0.834079	750	-3.095443	-22.646732
7	0.811838	750	-3.048783	-25.695515
8	0.789957	750	-3.017352	-28.712867
9	0.768433	750	-3.010363	-31.723230
10	0.747266	750	-2.913010	-34.636241
11	0.726452	750	-2.851952	-37.488193
12	0.705989	750	-2.834564	-40.322757
13	0.685877	750	-2.787457	-43.110213
14	0.666112	750	-2.717931	-45.828145
15	0.646693	750	-2.697943	-48.526088
16	0.627618	750	-2.621622	-51.147710
17	0.608884	750	-2.605142	-53.752852
18	0.590490	750	-2.579095	-56.331947
19	0.572433	750	-2.506965	-58.838913
20	0.554712	750	-2.465999	-61.304912
21	0.537324	750	-2.442173	-63.747085
22	0.520268	750	-2.403785	-66.150869
23	0.503540	750	-2.320083	-68.470952
24	0.487139	750	-2.277866	-70.748818
25	0.471063	750	-2.244824	-72.993642
26	0.455310	750	-2.219919	-75.213561
27	0.439877	750	-2.167109	-77.380670
28	0.424762	750	-2.128272	-79.508942
29	0.409963	750	-2.084842	-81.593785
30	0.395478	750	-2.066349	-83.660133
31	0.381305	750	-2.004020	-85.664153
32	0.367440	750	-1.973973	-87.638126
33	0.353883	750	-1.991857	-89.629983
34	0.340630	750	-1.896411	-91.526394
35	0.327680	750	-1.861500	-93.387895
36	0.315030	750	-1.804736	-95.192630
37	0.302677	750	-1.777285	-96.969915
38	0.290619	750	-1.754422	-98.724337
39	0.278855	750	-1.689904	-100.414240
40	0.267381	750	-1.704245	-102.118485
41	0.256195	750	-1.673873	-103.792359
42	0.245294	750	-1.634394	-105.426753
43	0.234677	750	-1.586318	-107.013071
44	0.224340	750	-1.580045	-108.593116
45	0.214281	750	-1.637641	-110.230757
46	0.204498	750	-1.503540	-111.734297
47	0.194988	750	-1.437034	-113.171331
48	0.185749	750	-1.439854	-114.611186
49	0.176777	750	-1.555517	-116.166703
50	0.168070	750	-1.402231	-117.568933
51	0.159626	750	-1.313861	-118.882794
52	0.151441	750	-1.243373	-120.126167
53	0.143514	750	-1.293538	-121.419706
54	0.135841	750	-1.314611	-122.734317
55	0.128420	750	-1.319890	-124.054207
56	0.121247	750	-1.281917	-125.336125
57	0.114320	750	-1.241006	-126.577131
58	0.107637	750	-1.240727	-127.817858
59	0.101193	750	-1.195900	-129.013758
60	0.094986	750	-1.177533	-130.191291
61	0.089014	750	-1.171519	-131.362810
62	0.083273	750	-1.074416	-132.437226
63	0.077760	750	-1.077447	-133.514673
64	0.072472	750	-1.092859	-134.607532
65	0.067406	750	-1.007882	-135.615414
66	0.062558	750	-0.964180	-136.579595
67	0.057926	750	-0.934468	-137.514062
68	0.053506	750	-0.922503	-138.436565
69	0.049295	750	-0.876074	-139.312639
70	0.045289	750	-0.856097	-140.168736
71	0.041485	750	-0.799196	-140.967932
72	0.037880	750	-0.792373	-141.760305
73	0.034469	750	-0.744056	-142.504361
74	0.031250	750	-0.721009	-143.225370
75	0.028218	750	-0.704137	-143.929507
76	0.025370	750	-0.664782	-144.594290
77	0.022702	750	-0.602962	-145.197251
78	0.020209	750	-0.592806	-145.790058
79	0.017889	750	-0.543620	-146.333678
80	0.015736	750	-0.519973	-146.853651
81	0.013746	750	-0.486200	-147.339850
82	0.011916	750	-0.475594	-147.815445
83	0.010240	750	-0.422918	-148.238362
84	0.008714	750	-0.402212	-148.640574
85	0.007334	750	-0.365647	-149.006221
86	0.006093	750	-0.324805	-149.331026
87	0.004988	750	-0.297160	-149.628186
88	0.004013	750	-0.267980	-149.896166
89	0.003162	750	-0.234822	-150.130988
90	0.002430	750	-0.223192	-150.354180
91	0.001810	750	-0.178549	-150.532729
92	0.001296	750	-0.168824	-150.701553
93	0.000882	750	-0.126114	-150.827667
94	0.000559	750	-0.099969	-150.927636
95	0.000320	750	-0.077301	-151.004937
96	0.000156	750	-0.051097	-151.056034
97	0.000057	750	-0.031714	-151.087747
98	0.000010	750	-0.014055	-151.101803
99	0.000000	750	-0.003137	-151.104939
Log marginal likelihood:	-151.104939
0	0.975187	750	-3.392203	-3.392203
1	0.950747	750	-3.326942	-6.719145
2	0.926679	750	-3.283035	-10.002180
3	0.902980	750	-3.245788	-13.247967
4	0.879648	750	-3.165529	-16.413496
5	0.856682	750	-3.135986	-19.549482
6	0.834079	750	-3.086457	-22.635939
7	0.811838	750	-3.076156	-25.712095
8	0.789957	750	-3.035594	-28.747689
9	0.768433	750	-2.984324	-31.732013
10	0.747266	750	-2.922178	-34.654191
11	0.726452	750	-2.863417	-37.517608
12	0.705989	750	-2.839113	-40.356721
13	0.685877	750	-2.816675	-43.173396
14	0.666112	750	-2.747242	-45.920638
15	0.646693	750	-2.709270	-48.629907
16	0.627618	750	-2.671040	-51.300947
17	0.608884	750	-2.637168	-53.938115
18	0.590490	750	-2.609804	-56.547919
19	0.572433	750	-2.564600	-59.112520
20	0.554712	750	-2.503079	-61.615599
21	0.537324	750	-2.468194	-64.083792
22	0.520268	750	-2.388793	-66.472585
23	0.503540	750	-2.370073	-68.842659
24	0.487139	750	-2.312983	-71.155641
25	0.471063	750	-2.333060	-73.488701
26	0.455310	750	-2.238313	-75.727014
27	0.439877	750	-2.202622	-77.929636
28	0.424762	750	-2.148795	-80.078431
29	0.409963	750	-2.174494	-82.252925
30	0.395478	750	-2.070846	-84.323771
31	0.381305	750	-2.025816	-86.349587
32	0.367440	750	-2.023054	-88.372642
33	0.353883	750	-1.961273	-90.333915
34	0.340630	750	-1.943935	-92.277850
35	0.327680	750	-1.957958	-94.235808
36	0.315030	750	-1.866202	-96.102010
37	0.302677	750	-1.810856	-97.912866
38	0.290619	750	-1.830193	-99.743059
39	0.278855	750	-1.741613	-101.484671
40	0.267381	750	-1.690214	-103.174886
41	0.256195	750	-1.674812	-104.849697
42	0.245294	750	-1.623230	-106.472928
43	0.234677	750	-1.609370	-108.082298
44	0.224340	750	-1.584457	-109.666755
45	0.214281	750	-1.623616	-111.290371
46	0.204498	750	-1.522143	-112.812514
47	0.194988	750	-1.497648	-114.310162
48	0.185749	750	-1.480189	-115.790352
49	0.176777	750	-1.552168	-117.342519
50	0.168070	750	-1.414501	-118.757021
51	0.159626	750	-1.442990	-120.200010
52	0.151441	750	-1.368294	-121.568304
53	0.143514	750	-1.257041	-122.825345
54	0.135841	750	-1.266051	-124.091396
55	0.128420	750	-1.330757	-125.422153
56	0.121247	750	-1.166420	-126.588573
57	0.114320	750	-1.240573	-127.829146
58	0.107637	750	-1.229683	-129.058829
59	0.101193	750	-1.192846	-130.251675
60	0.094986	750	-1.229440	-131.481115
61	0.089014	750	-1.154422	-132.635538
62	0.083273	750	-1.084377	-133.719915
63	0.077760	750	-1.113318	-134.833233
64	0.072472	750	-1.060684	-135.893917
65	0.067406	750	-1.031565	-136.925482
66	0.062558	750	-0.993641	-137.919123
67	0.057926	750	-0.932674	-138.851797
68	0.053506	750	-0.895324	-139.747120
69	0.049295	750	-0.926134	-140.673254
70	0.045289	750	-0.863394	-141.536648
71	0.041485	750	-0.813707	-142.350355
72	0.037880	750	-0.754824	-143.105179
73	0.034469	750	-0.778905	-143.884084
74	0.031250	750	-0.735923	-144.620007
75	0.028218	750	-0.694009	-145.314015
76	0.025370	750	-0.646658	-145.960673
77	0.022702	750	-0.634547	-146.595220
78	0.020209	750	-0.605991	-147.201211
79	0.017889	750	-0.519874	-147.721085
80	0.015736	750	-0.528297	-148.249382
81	0.013746	750	-0.498120	-148.747503
82	0.011916	750	-0.447461	-149.194963
83	0.010240	750	-0.434823	-149.629786
84	0.008714	750	-0.436514	-150.066300
85	0.007334	750	-0.400646	-150.466946
86	0.006093	750	-0.347802	-150.814747
87	0.004988	750	-0.314612	-151.129359
88	0.004013	750	-0.297258	-151.426617
89	0.003162	750	-0.256550	-151.683167
90	0.002430	750	-0.224148	-151.907315
91	0.001810	750	-0.178920	-152.086235
92	0.001296	750	-0.171717	-152.257951
93	0.000882	750	-0.125497	-152.383448
94	0.000559	750	-0.108812	-152.492260
95	0.000320	750	-0.072545	-152.564805
96	0.000156	750	-0.055350	-152.620155
97	0.000057	750	-0.032626	-152.652781
98	0.000010	750	-0.015184	-152.667966
99	0.000000	750	-0.003251	-152.671216
