Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-3.204995	-3.204995
1	0.950747	750	-3.159123	-6.364118
2	0.926679	750	-3.100906	-9.465024
3	0.902980	750	-3.085991	-12.551015
4	0.879648	750	-3.024596	-15.575611
5	0.856682	750	-2.984091	-18.559701
6	0.834079	750	-2.934260	-21.493961
7	0.811838	750	-2.943413	-24.437374
8	0.789957	750	-2.884409	-27.321783
9	0.768433	750	-2.796416	-30.118199
10	0.747266	750	-2.765575	-32.883774
11	0.726452	750	-2.720228	-35.604001
12	0.705989	750	-2.670033	-38.274034
13	0.685877	750	-2.665511	-40.939545
14	0.666112	750	-2.684358	-43.623902
15	0.646693	750	-2.580534	-46.204437
16	0.627618	750	-2.544436	-48.748873
17	0.608884	750	-2.490256	-51.239128
18	0.590490	750	-2.439991	-53.679119
19	0.572433	750	-2.384138	-56.063257
20	0.554712	750	-2.363918	-58.427175
21	0.537324	750	-2.330460	-60.757635
22	0.520268	750	-2.244979	-63.002614
23	0.503540	750	-2.231909	-65.234523
24	0.487139	750	-2.263267	-67.497790
25	0.471063	750	-2.144886	-69.642676
26	0.455310	750	-2.190798	-71.833473
27	0.439877	750	-2.252761	-74.086234
28	0.424762	750	-2.031507	-76.117741
29	0.409963	750	-1.999477	-78.117218
30	0.395478	750	-2.182965	-80.300183
31	0.381305	750	-1.905820	-82.206004
32	0.367440	750	-1.936263	-84.142267
33	0.353883	750	-2.062311	-86.204578
34	0.340630	750	-1.878597	-88.083176
35	0.327680	750	-1.985264	-90.068439
36	0.315030	750	-1.830562	-91.899002
37	0.302677	750	-1.858122	-93.757124
38	0.290619	750	-1.822129	-95.579253
39	0.278855	750	-1.778704	-97.357957
40	0.267381	750	-1.707722	-99.065679
41	0.256195	750	-1.736184	-100.801863
42	0.245294	750	-1.681979	-102.483842
43	0.234677	750	-1.661162	-104.145004
44	0.224340	750	-1.578957	-105.723961
45	0.214281	750	-1.544682	-107.268643
46	0.204498	750	-1.541693	-108.810336
47	0.194988	750	-1.497901	-110.308237
48	0.185749	750	-1.464046	-111.772283
49	0.176777	750	-1.392143	-113.164426
50	0.168070	750	-1.397580	-114.562006
51	0.159626	750	-1.351322	-115.913328
52	0.151441	750	-1.304939	-117.218267
53	0.143514	750	-1.253487	-118.471753
54	0.135841	750	-1.206033	-119.677786
55	0.128420	750	-1.200994	-120.878780
56	0.121247	750	-1.164900	-122.043680
57	0.114320	750	-1.112696	-123.156376
58	0.107637	750	-1.078608	-124.234985
59	0.101193	750	-1.041024	-125.276008
60	0.094986	750	-1.019530	-126.295539
61	0.089014	750	-0.993251	-127.288790
62	0.083273	750	-0.939868	-128.228658
63	0.077760	750	-0.902294	-129.130952
64	0.072472	750	-0.898101	-130.029053
65	0.067406	750	-0.861546	-130.890599
66	0.062558	750	-0.846983	-131.737582
67	0.057926	750	-0.792303	-132.529884
68	0.053506	750	-0.748815	-133.278699
69	0.049295	750	-0.735551	-134.014251
70	0.045289	750	-0.715628	-134.729879
71	0.041485	750	-0.672334	-135.402214
72	0.037880	750	-0.627736	-136.029949
73	0.034469	750	-0.628097	-136.658046
74	0.031250	750	-0.592047	-137.250093
75	0.028218	750	-0.550403	-137.800496
76	0.025370	750	-0.551458	-138.351954
77	0.022702	750	-0.522132	-138.874086
78	0.020209	750	-0.478230	-139.352316
79	0.017889	750	-0.452336	-139.804652
80	0.015736	750	-0.435489	-140.240140
81	0.013746	750	-0.390678	-140.630818
