Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-3.443007	-3.443007
1	0.950747	750	-3.398101	-6.841108
2	0.926679	750	-3.342470	-10.183578
3	0.902980	750	-3.292793	-13.476371
4	0.879648	750	-3.234371	-16.710742
5	0.856682	750	-3.191442	-19.902183
6	0.834079	750	-3.142213	-23.044396
7	0.811838	750	-3.104409	-26.148805
8	0.789957	750	-3.037903	-29.186708
9	0.768433	750	-2.998081	-32.184789
10	0.747266	750	-2.966241	-35.151030
11	0.726452	750	-2.909225	-38.060255
12	0.705989	750	-2.844451	-40.904706
13	0.685877	750	-2.804038	-43.708744
14	0.666112	750	-2.769516	-46.478260
15	0.646693	750	-2.724050	-49.202311
16	0.627618	750	-2.688210	-51.890521
17	0.608884	750	-2.635012	-54.525532
18	0.590490	750	-2.586573	-57.112105
19	0.572433	750	-2.629547	-59.741653
20	0.554712	750	-2.541914	-62.283566
21	0.537324	750	-2.503142	-64.786708
22	0.520268	750	-2.444699	-67.231407
23	0.503540	750	-2.342739	-69.574145
24	0.487139	750	-2.317852	-71.891998
25	0.471063	750	-2.294903	-74.186901
26	0.455310	750	-2.252926	-76.439826
27	0.439877	750	-2.215024	-78.654850
28	0.424762	750	-2.211042	-80.865892
29	0.409963	750	-2.144608	-83.010499
30	0.395478	750	-2.231230	-85.241730
31	0.381305	750	-2.117553	-87.359283
32	0.367440	750	-2.035175	-89.394458
33	0.353883	750	-2.100152	-91.494610
34	0.340630	750	-1.924002	-93.418612
35	0.327680	750	-1.901117	-95.319729
36	0.315030	750	-1.854673	-97.174402
37	0.302677	750	-1.805848	-98.980250
38	0.290619	750	-1.863136	-100.843386
39	0.278855	750	-1.808660	-102.652045
40	0.267381	750	-1.828242	-104.480287
41	0.256195	750	-1.698361	-106.178648
42	0.245294	750	-1.826214	-108.004862
43	0.234677	750	-1.630956	-109.635817
44	0.224340	750	-1.532697	-111.168514
45	0.214281	750	-1.635554	-112.804068
46	0.204498	750	-1.543536	-114.347604
47	0.194988	750	-1.574943	-115.922547
48	0.185749	750	-1.582802	-117.505350
49	0.176777	750	-1.491498	-118.996848
50	0.168070	750	-1.488067	-120.484915
51	0.159626	750	-1.493496	-121.978411
52	0.151441	750	-1.383731	-123.362142
53	0.143514	750	-1.383528	-124.745670
54	0.135841	750	-1.280823	-126.026493
55	0.128420	750	-1.236623	-127.263116
56	0.121247	750	-1.277048	-128.540164
57	0.114320	750	-1.169388	-129.709551
58	0.107637	750	-1.121432	-130.830984
59	0.101193	750	-1.175590	-132.006573
60	0.094986	750	-1.132195	-133.138768
61	0.089014	750	-1.066683	-134.205452
62	0.083273	750	-1.061014	-135.266466
63	0.077760	750	-1.006969	-136.273435
64	0.072472	750	-0.978286	-137.251721
65	0.067406	750	-0.947187	-138.198908
66	0.062558	750	-0.880540	-139.079448
67	0.057926	750	-0.881150	-139.960598
68	0.053506	750	-0.836672	-140.797270
69	0.049295	750	-0.791956	-141.589226
70	0.045289	750	-0.765914	-142.355139
71	0.041485	750	-0.732803	-143.087942
72	0.037880	750	-0.700277	-143.788219
73	0.034469	750	-0.672854	-144.461073
74	0.031250	750	-0.636612	-145.097684
75	0.028218	750	-0.605532	-145.703217
76	0.025370	750	-0.561755	-146.264972
77	0.022702	750	-0.537357	-146.802329
78	0.020209	750	-0.493995	-147.296325
79	0.017889	750	-0.482682	-147.779007
80	0.015736	750	-0.456930	-148.235937
81	0.013746	750	-0.432323	-148.668260
82	0.011916	750	-0.397708	-149.065969
83	0.010240	750	-0.380493	-149.446462
84	0.008714	750	-0.341863	-149.788325
85	0.007334	750	-0.315791	-150.104115
86	0.006093	750	-0.290371	-150.394486
87	0.004988	750	-0.281247	-150.675734
88	0.004013	750	-0.232953	-150.908686
89	0.003162	750	-0.201499	-151.110185
90	0.002430	750	-0.175459	-151.285644
91	0.001810	750	-0.156777	-151.442421
92	0.001296	750	-0.133965	-151.576386
93	0.000882	750	-0.112856	-151.689242
94	0.000559	750	-0.082888	-151.772130
95	0.000320	750	-0.062200	-151.834330
96	0.000156	750	-0.042158	-151.876488
97	0.000057	750	-0.026313	-151.902801
98	0.000010	750	-0.013309	-151.916110
99	0.000000	750	-0.002607	-151.918717
Log marginal likelihood:	-151.918717
0	0.975187	750	-4.016496	-4.016496
1	0.950747	750	-3.941872	-7.958368
2	0.926679	750	-3.888496	-11.846863
3	0.902980	750	-3.835721	-15.682584
4	0.879648	750	-3.770406	-19.452990
5	0.856682	750	-3.713073	-23.166063
6	0.834079	750	-3.654110	-26.820173
7	0.811838	750	-3.608545	-30.428718
8	0.789957	750	-3.547006	-33.975724
9	0.768433	750	-3.493571	-37.469296
10	0.747266	750	-3.427968	-40.897264
11	0.726452	750	-3.371541	-44.268805
12	0.705989	750	-3.317992	-47.586796
13	0.685877	750	-3.256912	-50.843709
14	0.666112	750	-3.205851	-54.049560
15	0.646693	750	-3.151410	-57.200970
16	0.627618	750	-3.097953	-60.298923
17	0.608884	750	-3.045487	-63.344410
18	0.590490	750	-2.985430	-66.329841
19	0.572433	750	-2.940916	-69.270756
20	0.554712	750	-2.891230	-72.161986
21	0.537324	750	-2.829493	-74.991479
22	0.520268	750	-2.776893	-77.768372
23	0.503540	750	-2.741163	-80.509535
24	0.487139	750	-2.675034	-83.184569
25	0.471063	750	-2.621671	-85.806240
26	0.455310	750	-2.579889	-88.386130
27	0.439877	750	-2.548458	-90.934588
28	0.424762	750	-2.479375	-93.413964
29	0.409963	750	-2.428097	-95.842060
30	0.395478	750	-2.394932	-98.236993
31	0.381305	750	-2.401670	-100.638662
32	0.367440	750	-2.313467	-102.952129
33	0.353883	750	-2.256313	-105.208443
34	0.340630	750	-2.182738	-107.391181
35	0.327680	750	-2.138795	-109.529976
36	0.315030	750	-2.127721	-111.657697
37	0.302677	750	-2.051390	-113.709088
38	0.290619	750	-2.035741	-115.744829
39	0.278855	750	-1.932990	-117.677819
40	0.267381	750	-1.979201	-119.657020
41	0.256195	750	-1.945951	-121.602972
42	0.245294	750	-1.908662	-123.511634
43	0.234677	750	-1.867913	-125.379547
44	0.224340	750	-1.793497	-127.173044
45	0.214281	750	-1.799398	-128.972442
46	0.204498	750	-1.718531	-130.690973
47	0.194988	750	-1.692815	-132.383788
48	0.185749	750	-1.637795	-134.021583
49	0.176777	750	-1.572115	-135.593698
50	0.168070	750	-1.554509	-137.148207
51	0.159626	750	-1.539105	-138.687312
52	0.151441	750	-1.487377	-140.174689
53	0.143514	750	-1.446618	-141.621307
54	0.135841	750	-1.386655	-143.007962
55	0.128420	750	-1.354754	-144.362716
56	0.121247	750	-1.320222	-145.682939
57	0.114320	750	-1.284978	-146.967917
58	0.107637	750	-1.227964	-148.195881
59	0.101193	750	-1.197409	-149.393291
60	0.094986	750	-1.157641	-150.550932
61	0.089014	750	-1.115104	-151.666036
62	0.083273	750	-1.078442	-152.744478
63	0.077760	750	-1.036044	-153.780522
64	0.072472	750	-0.983705	-154.764227
65	0.067406	750	-0.972165	-155.736392
66	0.062558	750	-0.909448	-156.645840
67	0.057926	750	-0.889825	-157.535665
68	0.053506	750	-0.849202	-158.384868
69	0.049295	750	-0.820219	-159.205087
70	0.045289	750	-0.766385	-159.971472
71	0.041485	750	-0.733569	-160.705041
72	0.037880	750	-0.722367	-161.427408
73	0.034469	750	-0.669577	-162.096985
74	0.031250	750	-0.641045	-162.738030
75	0.028218	750	-0.605977	-163.344007
76	0.025370	750	-0.568949	-163.912956
77	0.022702	750	-0.550429	-164.463385
78	0.020209	750	-0.523998	-164.987383
79	0.017889	750	-0.487608	-165.474992
80	0.015736	750	-0.469662	-165.944654
81	0.013746	750	-0.427189	-166.371843
82	0.011916	750	-0.393851	-166.765694
83	0.010240	750	-0.369481	-167.135175
84	0.008714	750	-0.343800	-167.478975
85	0.007334	750	-0.317120	-167.796095
