Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2,,,,
Elops_affinis,0,,5,216.9289184,23.82849285,-15.87608105,-0.26895273,,,,
Ophichthus_zophochir,0,0,55.5,217.707151,23.64865843,-15.07817303,-0.305410875,,,,
Chitala_ornata,1,0,,,,,,,,,
Harengula_thrissina,0,,25,216.9289184,23.82849285,-15.87608105,-0.26895273,,,,
Sardinella_aurita,0,0,175,220.5719415,23.29483155,-12.19656074,-0.136506589,,,,
Gonorynchus_greyi,0,,80.5,,,,,,,,
Pimephales_promelas,1,,,,,,,,,,
Ancistrus_dolichopterus,1,,,,,,,,,,
Ameiurus_nebulosus,1,0,,,,,,,,,
Pylodictis_olivaris,1,,,,,,,,,,
Glossanodon_semifasciatus,0,,543.5,,,,,,,,
Oncorhynchus_kisutch,1,0,,,,,,,,,
Cyclothone_microdon,0,,250.5,257.3997324,15.95699131,25.35077858,-0.708688388,,,,
Synodus_foetens,0,0,100,208.8672356,25.9202148,-24.18286978,0.333783759,,,,
Parasudis_truculenta,0,,479,215.5143652,24.96599546,-17.47266693,0.594636565,,,,
Lestidiops_affinis,0,,1000,210.2701733,25.39986414,-22.70906777,0.07512055,,,,
Uncisudis_advena,0,,905,,,,,,,,
Hygophum_proximum,0,0,500,211.5587087,25.5680328,-21.47202685,0.473032496,,,,
Notolychnus_valdiviae,0,,12.5,220.8402526,23.29256557,-11.93224483,-0.090321261,,,,
Zenopsis_nebulosa,0,,15,,,,,,,,
Ciliata_mustela,0,0,19.5,281.8985352,10.53553931,50.42570488,-1.62058299,,,,
Pollachius_pollachius,0,0,120,287.8067474,10.1504457,56.30642578,-0.933276532,,,,
Mora_moro,0,0,1475,245.820665,17.07312616,13.76037492,-1.700203326,,,,
Bregmaceros_atlanticus,0,0,,209.7657578,25.74677421,-23.2678003,0.325319577,,,,
Bregmaceros_mcclellandi,0,0,1000,,,,,,,,
Albatrossia_pectoralis,0,0,1820,,,,,,,,
Zu_cristatus,0,,90,225.1361424,22.19688756,-7.509163589,-0.392863448,,,,
Carapus_dubius,0,,40.5,208.7485186,26.49987302,-24.40423181,0.88250612,,,,
Genypterus_tigerinus,0,,30,,,,,,,,
Opsanus_tau,1,,2.5,236.3437608,19.35518905,4.027249143,-1.165613027,,,,
Porichthys_notatus,1,,183,273.233653,12.83142252,41.48877879,-0.925877788,,,,
Calotomus_japonicus,0,,,225.2989135,21.48592061,-7.220777187,-1.0627901,,,,
Tautoga_onitis,0,1,38,261.2653508,14.41589259,29.43102273,-1.526978396,,,,
Ctenolabrus_rupestris,0,,25.5,260.0349957,15.66647803,27.99520683,-0.518925673,,,,
Symphodus_melops,1,,,263.1110675,15.2008466,31.10480648,-0.421867127,,,,
Linophryne_arborifera,0,,600,218.1811845,23.87165955,-14.65215871,-0.000535396,,,,
Balistes_capriscus,1,0,50,227.1702239,22.0481474,-5.481630891,-0.172132062,,,,
Chilomycterus_schoepfii,0,1,6,226.1528123,23.28349121,-6.705248361,0.859352781,,,,
Diodon_holocanthus,0,1,1,205.600128,27.13726972,-27.61595658,0.94134426,,,,
