Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2
Ophichthus_zophochir,0,0,55.5,217.707151,23.64865843,-17.7381116,-0.495466366
Chitala_ornata,1,0,,,,,
Sardinella_aurita,0,0,175,220.5719415,23.29483155,-14.85695753,-0.318918021
Ameiurus_nebulosus,1,0,,,,,
Oncorhynchus_kisutch,1,0,,,,,
Synodus_foetens,0,0,100,208.8672356,25.9202148,-26.84447203,0.119572093
Hygophum_proximum,0,0,500,211.5587087,25.5680328,-24.13400805,0.266011958
Ciliata_mustela,0,0,19.5,281.8985352,10.53553931,47.76902483,-1.636858071
Pollachius_pollachius,0,0,120,287.8067474,10.1504457,53.64790168,-0.933953017
Mora_moro,0,0,1475,245.820665,17.07312616,11.10403513,-1.813747885
Bregmaceros_atlanticus,0,0,,209.7657578,25.74677421,-25.92938332,0.113535536
Bregmaceros_mcclellandi,0,0,1000,,,,
Albatrossia_pectoralis,0,0,1820,,,,
Tautoga_onitis,0,1,38,261.2653508,14.41589259,26.77416825,-1.598950773
Balistes_capriscus,1,0,50,227.1702239,22.0481474,-8.141956807,-0.336729276
Chilomycterus_schoepfii,0,1,6,226.1528123,23.28349121,-9.368306406,0.691505792
Diodon_holocanthus,0,1,1,205.600128,27.13726972,-30.27915855,0.718022791
Diodon_hystrix,0,1,26,205.2235081,27.14980941,-30.65171039,0.661410731
Argyrosomus_regius,0,1,157.5,237.7639532,19.56349258,2.727592182,-0.840231837
Lepomis_macrochirus,1,0,,,,,
Micropterus_salmoides,1,1,7,,,,
Gasterosteus_aculeatus,1,1,50,317.0893877,7.620427834,82.89889375,1.93893339
Spinachia_spinachia,1,1,,310.4431135,8.503010424,76.20336051,1.590010169
Aphanopus_carbo,0,0,1250,,,,
Sarda_sarda,0,0,140,235.0045785,19.9353563,-0.053228835,-0.979751844
Thunnus_albacares,0,0,25.5,212.8538678,25.02770116,-22.76182508,-0.028112616
Euthynnus_affinis,0,0,0,203.7063066,27.58287049,-32.22254832,0.809432581
Clevelandia_ios,0,1,1,,,,
Glossogobius_callidus,1,1,,,,,
Eviota_prasina,1,1,32.5,201.895684,28.13654525,-34.10392787,1.022319774
Gobiusculus_flavescens,1,1,0,293.9714652,11.04924787,59.54393438,1.078107937
Pomatoschistus_minutus,1,1,102,290.1615891,11.50542991,55.71492706,0.829188411
Pomatoschistus_microps,1,1,6,288.9139413,11.70937418,54.45102799,0.801306177
Knipowitschia_punctatissima,1,1,,,,,
Amblygobius_phalaena,1,1,52,,,,
Valenciennea_muralis,1,1,,,,,
Valenciennea_longipinnis,1,1,16,,,,
Neogobius_melanostomus,1,1,15,,,,
Padogobius_bonelli,1,1,,,,,
Zosterisessor_ophiocephalus,1,1,30,245.2063451,18.34454095,10.26736376,-0.676265787
Neogobius_fluviatilis,1,1,,,,,
Coryphaena_hippurus,0,0,2.5,211.6415174,25.32187227,-24.00753908,0.039168651
Decapterus_punctatus,0,0,50,210.4477105,25.68162917,-25.2470283,0.174321926
Trachurus_declivis,0,0,43.5,246.638701,16.91603665,11.9370045,-1.818442548
Alectis_ciliaris,0,0,30,208.7328375,26.0761082,-27.00513544,0.248230056
Selene_peruviana,0,0,25,216.7172055,23.82162531,-18.74299219,-0.506630454
Carangoides_bartholomaei,0,0,25,,,,
Caranx_caballus,0,0,51.5,215.6597493,24.80535586,-19.96265224,0.266912539
Hippoglossoides_platessoides,0,0,1505,,,,
Parophrys_vetulus,0,0,275,,,,
Limanda_proboscidea,0,0,80,,,,
Syacium_papillosum,0,0,75,207.4462553,26.59136516,-28.36429653,0.519273609
Hypsypops_rubicundus,1,1,15,240.6277821,18.4747297,5.742330159,-1.386377886
Dascyllus_aruanus,1,1,10,,,,
Dascyllus_marginatus,1,1,8,,,,
Chromis_chromis,1,1,21,228.3949764,21.28510114,-6.798223153,-0.862693293
Premnas_biaculeatus,1,1,8.5,,,,
Amphiprion_ocellaris,1,1,3,,,,
Amphiprion_percula,1,1,3,199.974933,28.70602482,-36.09646811,1.230585848
Amphiprion_melanopus,1,1,9.5,200.5681028,28.47829174,-35.47163432,1.115279702
Amphiprion_clarkii,1,1,0.5,,,,
Amphiprion_sebae,1,1,13.5,,,,
Symphysodon_aequifasciatus,1,0,,,,,
Tilapia_zillii,1,0,,,,,
