Name,Group,PC1,PC2,PC1S,PC2S,Fanning,PectoralSwimming,All
Elops_affinis,No Care,-0.31247238,0.040669915,,,0,-,All
Ophichthus_rufus,No Care,0.194999346,-0.006625,0.041509992,0.03132609,0,0,All
Ophichthus_zophochir,No Care,0.021519104,0.022083639,-0.042430039,0.05530236,0,0,All
Chitala_ornata,Fanning,-0.063634503,0.056344768,-0.201910519,0.050354539,1,0,All
Engraulis_encrasicolus,No Care,-0.223902451,0.047233797,-0.195708932,0.078141666,0,0,All
Brevoortia_patronus,No Care,-0.217164012,0.064512511,-0.352425806,-0.020450944,0,0,All
Harengula_thrissina,No Care,-0.222700872,0.043809556,,,0,-,All
Sardinella_aurita,No Care,-0.371907467,-0.03409346,-0.140018761,0.04562545,0,0,All
Gonorynchus_greyi,No Care,-0.222034363,0.034410663,,,0,-,All
Pimephales_promelas,Fanning,-0.015346109,0.015374589,,,1,-,All
Ancistrus_dolichopterus,Fanning,-0.085896516,-0.117899678,,,1,-,All
Ameiurus_nebulosus,Fanning,-0.160698528,0.030094849,-0.058056665,0.058828264,1,0,All
Pylodictis_olivaris,Fanning,0.320316156,-0.113627399,,,1,-,All
Glossanodon_semifasciatus,No Care,0.011341685,0.08338295,,,0,-,All
Oncorhynchus_kisutch,Fanning,-0.079779871,0.059052924,-0.2529022,0.011410285,1,0,All
Cyclothone_microdon,No Care,-0.22555965,0.013430149,,,0,-,All
Synodus_foetens,No Care,-0.27350919,0.002911386,-0.384512274,-0.055497099,0,0,All
Parasudis_truculenta,No Care,-0.214147086,0.033242329,,,0,-,All
Lestidiops_affinis,No Care,0.166760473,0.078709105,,,0,-,All
Uncisudis_advena,No Care,-0.154930914,0.056683652,,,0,-,All
Hygophum_proximum,No Care,-0.402833026,-0.071773841,0.159285598,0.168450488,0,0,All
Symbolophorus_evermanni,No Care,0.137385369,0.174443354,0.320758367,-0.058882296,0,0,All
Notolychnus_valdiviae,No Care,-0.254717913,-0.035131607,,,0,-,All
Zenopsis_nebulosa,No Care,-0.153261515,-0.048460419,,,0,-,All
Raniceps_raninus,No Care,0.300498201,-0.052679163,0.096614621,0.013395324,0,0,All
Urophycis_chuss,No Care,0.075517573,0.018047466,0.190949514,0.005845833,0,0,All
Ciliata_mustela,No Care,0.169656465,0.015665789,0.241084006,0.041686775,0,0,All
Brosme_brosme,No Care,0.219445777,0.054754702,0.141311184,0.009125283,0,0,All
Eleginus_nawaga,No Care,0.118519606,0.022389819,-0.08707464,0.08698387,0,0,All
Eleginus_gracilis,No Care,-0.109306851,0.084482025,-0.089568537,0.088118705,0,0,All
Pollachius_virens,No Care,-0.112620517,0.093343823,-0.151711908,-0.025989231,0,0,All
Pollachius_pollachius,No Care,-0.171121097,-0.027238364,-0.165406098,0.018707692,0,0,All
Merlangius_merlangus,No Care,-0.187201947,0.023664326,-0.162573318,0.005113236,0,0,All
Arctogadus_glacialis,No Care,-0.183598284,0.003509169,-0.043593595,0.015281169,0,0,All
Trachyrincus_scabrus,No Care,-0.065710906,0.025611704,-0.130033843,0.020188952,0,0,All
Laemonema_longipes,No Care,-0.152082407,0.023319311,-0.188026647,0.030370177,0,0,All
Mora_moro,No Care,-0.209447735,0.030339929,-0.026955682,0.052221146,0,0,All
Macruronus_novaezelandiae,No Care,-0.051596045,0.054014867,-0.09672587,0.02104744,0,0,All
Bregmaceros_atlanticus,No Care,-0.117549642,0.023663206,-0.174913026,0.059701489,0,0,All
Bregmaceros_mcclellandi,No Care,-0.196297199,0.044230135,-0.170599091,0.025896593,0,0,All
Hymenocephalus_italicus,No Care,-0.191953451,0.025272508,-0.038225027,0.019725233,0,0,All
Nezumia_sclerorhynchus,No Care,-0.059652147,0.020229805,-0.182030144,0.031408371,0,0,All
Nezumia_aequalis,No Care,-0.204395467,0.03636381,-0.099293238,-0.00910828,0,0,All
Albatrossia_pectoralis,No Care,-0.119658076,-0.011398342,-0.165577647,-0.039854338,0,0,All
Zu_cristatus,No Care,-0.102918675,0.02779281,,,0,-,All
Carapus_dubius,No Care,0.129123473,-0.021336381,,,0,-,All
Cherublemma_emmelas,No Care,-0.18571304,-0.040324221,0.046387979,-0.016501925,0,0,All
Genypterus_capensis,No Care,0.02633918,-0.013018353,0.145105419,-0.073667915,0,0,All
Genypterus_tigerinus,No Care,0.108988766,-0.019146975,,,0,-,All
Genypterus_blacodes,No Care,0.124713928,-0.067967646,0.169121904,-0.06229099,0,0,All
Parophidion_vassali,No Care,0.148758754,-0.055965408,0.268124984,0.083289232,0,0,All
Opsanus_tau,Fanning,0.271502582,0.085572443,,,1,-,All
Porichthys_notatus,Fanning,0.225035612,-0.112996666,,,1,-,All
Calotomus_japonicus,No Care,0.218580288,0.125576185,,,0,-,All
Tautoga_onitis,No Care,0.247540526,0.091045938,-0.103830158,-0.004115102,0,1,All
Ctenolabrus_rupestris,No Care,0.072440093,0.065766742,,,0,-,All
Symphodus_melops,Fanning,0.231303286,0.026889377,,,1,-,All
Linophryne_arborifera,No Care,0.261908065,-0.135959558,,,0,-,All
Lactoria_diaphana,No Care,-0.125514717,0.001559879,0.320905743,-0.065470855,0,0,All
Balistes_capriscus,Fanning,0.301395366,-0.054689819,0.115031521,-0.082592867,1,0,All
Chilomycterus_schoepfii,No Care,0.095615758,-0.06908639,0.301045386,0.120271546,0,1,All
Diodon_holocanthus,No Care,0.280766625,0.117195405,0.244757102,0.116369122,0,1,All
