Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2
Acanthopagrus_australis,0,,,219.1838879,22.78442777,-12.71425387,-0.809646691
Acanthopsetta_nadeshnyi,0,0,459,,,,
Elops_affinis,0,,5,216.9289184,23.82849285,-15.12197777,-0.19497199
Ophichthus_rufus,0,0,,227.2892417,20.30838249,-4.293015737,-1.763747682
Ophichthus_zophochir,0,0,55.5,217.707151,23.64865843,-14.32399046,-0.229651323
Chitala_ornata,1,0,,,,,
Engraulis_encrasicolus,0,0,200,242.5105676,18.95174264,10.92007314,-0.317663055
Brevoortia_patronus,0,0,25,212.2823624,25.33018391,-19.96464204,0.432850782
Harengula_thrissina,0,,25,216.9289184,23.82849285,-15.12197777,-0.19497199
Sardinella_aurita,0,0,175,220.5719415,23.29483155,-11.44276185,-0.054323675
Gonorynchus_greyi,0,,80.5,,,,
Pimephales_promelas,1,,,,,,
Ancistrus_dolichopterus,1,,,,,,
Ameiurus_nebulosus,1,0,,,,,
Pylodictis_olivaris,1,,,,,,
Glossanodon_semifasciatus,0,,543.5,,,,
Oncorhynchus_kisutch,1,0,,,,,
Cyclothone_microdon,0,,250.5,257.3997324,15.95699131,26.1057597,-0.542802331
Synodus_foetens,0,0,100,208.8672356,25.9202148,-23.4300895,0.389245244
Parasudis_truculenta,0,,479,215.5143652,24.96599546,-16.72048482,0.665055999
Lestidiops_affinis,0,,1000,210.2701733,25.39986414,-21.95571454,0.133868124
Uncisudis_advena,0,,905,,,,
Hygophum_proximum,0,0,500,211.5587087,25.5680328,-20.71956372,0.534536732
Symbolophorus_evermanni,0,0,50,,,,
Notolychnus_valdiviae,0,,12.5,220.8402526,23.29256557,-11.17854957,-0.00754924
Zenopsis_nebulosa,0,,15,,,,
Raniceps_raninus,0,0,50,300.3726605,10.51484941,69.34984905,1.954835355
Urophycis_chuss,0,0,593.5,,,,
Ciliata_mustela,0,0,19.5,281.8985352,10.53553931,51.18265651,-1.398796845
Brosme_brosme,0,0,509,,,,
Eleginus_nawaga,0,0,10,,,,
Eleginus_gracilis,0,0,150,,,,
Pollachius_virens,0,0,200.5,,,,
Pollachius_pollachius,0,0,120,287.8067474,10.1504457,57.06183063,-0.698382604
Merlangius_merlangus,0,0,105,282.01628,11.3844192,51.14338801,-0.542690023
Arctogadus_glacialis,0,0,500,,,,
Trachyrincus_scabrus,0,0,,,,,
Laemonema_longipes,0,0,955,,,,
Mora_moro,0,0,1475,245.820665,17.07312616,14.51759515,-1.560152501
Macruronus_novaezelandiae,0,0,0,,,,
Bregmaceros_atlanticus,0,0,,209.7657578,25.74677421,-22.51500343,0.382820985
Bregmaceros_mcclellandi,0,0,1000,,,,
Hymenocephalus_italicus,0,0,750,214.2607768,24.32911097,-17.8366737,-0.190062777
Nezumia_sclerorhynchus,0,0,1665,223.7637064,22.13346661,-8.092575516,-0.613236194
Nezumia_aequalis,0,0,1260,240.6963304,19.16743017,9.096957576,-0.436941638
Albatrossia_pectoralis,0,0,1820,,,,
Zu_cristatus,0,,90,225.1361424,22.19688756,-6.754804874,-0.300230603
Carapus_dubius,0,,40.5,208.7485186,26.49987302,-23.65267421,0.937472774
Cherublemma_emmelas,0,0,421,,,,
Genypterus_capensis,0,0,275,,,,
Genypterus_tigerinus,0,,30,,,,
Genypterus_blacodes,0,0,11,,,,
Parophidion_vassali,0,0,,229.4123428,19.749521,-2.103556287,-1.925462748
Opsanus_tau,1,,2.5,236.3437608,19.35518905,4.78330183,-1.047260923
Porichthys_notatus,1,,183,273.233653,12.83142252,42.24420397,-0.724015848
Calotomus_japonicus,0,,,225.2989135,21.48592061,-6.464925767,-0.969512709
Tautoga_onitis,0,1,38,261.2653508,14.41589259,30.18781787,-1.351994496
Ctenolabrus_rupestris,0,,25.5,260.0349957,15.66647803,28.74975834,-0.347145044
Symphodus_melops,1,,,263.1110675,15.2008466,31.8591339,-0.24315472
Linophryne_arborifera,0,,600,218.1811845,23.87165955,-13.89865684,0.076173083
Lactoria_diaphana,0,0,29,,,,
Balistes_capriscus,1,0,50,227.1702239,22.0481474,-4.727769276,-0.074979924
Chilomycterus_schoepfii,0,1,6,226.1528123,23.28349121,-5.953683124,0.953774628
Diodon_holocanthus,0,1,1,205.600128,27.13726972,-26.86452216,0.989151089
