Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2
Acanthopsetta_nadeshnyi,0,0,459,,,,
Ophichthus_rufus,0,0,,227.2892417,20.30838249,-5.067031709,-1.783764748
Ophichthus_zophochir,0,0,55.5,217.707151,23.64865843,-15.10166446,-0.27378096
Chitala_ornata,1,0,,,,,
Engraulis_encrasicolus,0,0,200,242.5105676,18.95174264,10.14253775,-0.301121622
Brevoortia_patronus,0,0,25,212.2823624,25.33018391,-20.74389199,0.375162662
Sardinella_aurita,0,0,175,220.5719415,23.29483155,-12.22086555,-0.09152916
Ameiurus_nebulosus,1,0,,,,,
Oncorhynchus_kisutch,1,0,,,,,
Synodus_foetens,0,0,100,208.8672356,25.9202148,-24.20922464,0.323228498
Hygophum_proximum,0,0,500,211.5587087,25.5680328,-21.49905588,0.475033962
Symbolophorus_evermanni,0,0,50,,,,
Raniceps_raninus,0,0,50,300.3726605,10.51484941,68.56668326,2.111798574
Urophycis_chuss,0,0,593.5,,,,
Ciliata_mustela,0,0,19.5,281.8985352,10.53553931,50.40760321,-1.285486419
Brosme_brosme,0,0,509,,,,
Eleginus_nawaga,0,0,10,,,,
Eleginus_gracilis,0,0,150,,,,
Pollachius_virens,0,0,200.5,,,,
Pollachius_pollachius,0,0,120,287.8067474,10.1504457,56.285077,-0.570944373
Merlangius_merlangus,0,0,105,282.01628,11.3844192,50.36627728,-0.429476446
Arctogadus_glacialis,0,0,500,,,,
Trachyrincus_scabrus,0,0,,,,,
Laemonema_longipes,0,0,955,,,,
Mora_moro,0,0,1475,245.820665,17.07312616,13.74303554,-1.534961304
Macruronus_novaezelandiae,0,0,0,,,,
Bregmaceros_atlanticus,0,0,,209.7657578,25.74677421,-23.29412577,0.319003548
Bregmaceros_mcclellandi,0,0,1000,,,,
Hymenocephalus_italicus,0,0,750,214.2607768,24.32911097,-18.6144327,-0.242634805
Nezumia_sclerorhynchus,0,0,1665,223.7637064,22.13346661,-8.869345618,-0.642388329
Nezumia_aequalis,0,0,1260,240.6963304,19.16743017,8.319714128,-0.424781481
Albatrossia_pectoralis,0,0,1820,,,,
Cherublemma_emmelas,0,0,421,,,,
Genypterus_capensis,0,0,275,,,,
Genypterus_blacodes,0,0,11,,,,
Parophidion_vassali,0,0,,229.4123428,19.749521,-2.877189921,-1.940217266
Tautoga_onitis,0,1,38,261.2653508,14.41589259,29.41271272,-1.289142563
Lactoria_diaphana,0,0,29,,,,
Balistes_capriscus,1,0,50,227.1702239,22.0481474,-5.505842725,-0.096046741
Chilomycterus_schoepfii,0,1,6,226.1528123,23.28349121,-6.73422551,0.929758516
Diodon_holocanthus,0,1,1,205.600128,27.13726972,-27.64508918,0.914878399
