Species,Fanning,Swimming,TemperatureMean,TemperatureSD,OxygenMean,OxygenSD,Temperature1,Temperature2,Temperature3,Temperature4,Temperature5,Temperature6,Temperature7,Temperature8,Temperature9,Temperature10,Oxygen1,Oxygen2,Oxygen3,Oxygen4,Oxygen5,Oxygen6,Oxygen7,Oxygen8,Oxygen9,Oxygen10
Acanthopagrus_australis,0,N/A,23.605371,2.562232365,216.2333808,10.51588965,20.88071229,22.53291352,22.660024,27.53674506,21.17681406,22.26799644,24.79837987,21.04752352,25.22460554,23.65021146,231.513678,222.3486881,212.755468,241.3665744,198.4830055,203.9571396,216.2571345,220.5750776,202.37731,206.200815
Acanthopsetta_nadeshnyi,0,0,7.082355155,4.738529016,311.538441,34.07124312,6.46496694,6.969391372,1.184316023,8.090870276,-2.613685235,0.679218494,6.022193004,-3.80962828,5.738590409,10.50421698,350.2604348,311.7256922,269.1403894,314.9874895,305.6705067,287.6982876,248.9306845,309.5841032,237.0624931,280.8824538
Acanthurus_nigroris,0,N/A,25.31483395,0.783689535,211.6688082,3.614511928,24.20969277,24.25223626,26.05924928,25.95154176,25.43950994,24.85671564,26.19118605,23.0197483,24.53189939,25.40992099,212.1263147,213.2369716,206.4618578,207.6779858,206.3846072,213.0842031,211.3379367,213.0530117,213.5602307,211.7487392
Achirus_mazatlanus,0,0,25.88162428,2.901530165,213.7019522,7.477152406,25.59704278,27.64015378,34.07806248,24.66708444,25.27561889,26.40765086,27.17987146,24.9769034,22.20671454,26.56248111,212.9538724,217.0358604,227.9892758,216.7098659,205.5965407,201.1205001,215.1312116,212.9333493,208.4872851,217.2412848
Alectis_ciliaris,0,0,26.23352761,2.674971179,209.5729319,9.271107963,25.95084361,22.93229947,28.05703403,27.87723382,26.46321024,24.96926639,23.51787302,24.13110525,22.71592867,25.76352704,226.2099811,209.5822706,211.2119955,224.1936933,201.8394469,190.5222035,213.6435184,206.1969923,196.4817953,202.2565085
Amblygobius_bynoensis,1,N/A,27.82862135,1.266951334,203.5944431,3.53413214,27.35493973,27.44836452,27.47395372,27.33552372,28.78863118,26.45597726,27.71269734,26.50622251,27.43245924,26.16981176,200.1615115,201.3844497,203.9371757,203.9606934,202.3567086,197.3151567,211.2250151,204.8454402,192.9619404,200.2139496
Amblygobius_phalaena,1,1,28.31187827,1.492786274,202.9610895,4.282778548,27.67257263,28.62636442,28.54163605,29.32662403,30.70152109,29.36592818,29.13973921,28.52870782,27.75954341,30.04302379,203.8737611,208.1162589,199.3790556,212.1447633,212.2501812,201.0769077,205.5702144,200.5542263,206.2143128,199.4056903
Ammodytes_tobianus,0,N/A,10.56523739,2.654472916,295.3163056,33.93907879,5.291719096,13.06761755,13.28639683,12.63788573,10.6209936,12.0807598,6.369788054,12.21161512,12.0482226,13.12738366,311.0213791,279.7335057,315.5778857,305.1396835,345.3024402,278.2621438,293.269992,306.9309983,297.2497215,350.3458916
Ammodytoides_gilli,0,N/A,28.01041458,1.334891241,210.0682729,4.114517075,27.93488101,27.41747915,29.00197305,26.68325243,27.71776497,28.64924313,27.63928695,28.93168269,28.14341409,29.14357274,215.2404813,201.2087582,210.3275353,212.6688047,210.7871321,211.9253208,207.7515662,208.2396362,204.9626807,209.1221473
Amphiprion_clarkii,1,1,28.2649824,1.828270083,203.6478057,6.290787911,26.83769401,29.28523808,30.28395189,27.02842928,29.76417904,25.25555118,27.86690413,26.00556725,27.67732945,27.04547416,201.0135154,202.078667,198.0797605,207.1484236,212.5823834,209.7418989,205.5836564,205.341642,211.1367217,206.9633875
Amphiprion_melanopus,1,1,28.69303873,1.225165333,201.5731066,3.154224542,30.37286535,28.42561625,27.48788801,29.39301833,29.82069726,28.99304808,27.59899306,28.72593178,29.68994047,29.34515602,201.369784,199.5581917,198.639205,193.7084161,199.8512194,202.445196,194.3624794,197.9281871,200.8223351,205.5093395
Amphiprion_ocellaris,1,1,28.90327879,0.78519915,201.9459021,2.300321699,29.45565076,29.71894581,28.26791547,29.36275288,28.76310727,28.30488852,30.19241999,30.54392216,29.42606756,27.57401635,199.360331,197.7911366,198.5364709,203.0054973,204.068628,203.4561236,202.2000925,200.3325907,204.6662148,200.3670863
Amphiprion_percula,1,1,28.82357487,0.967520669,201.1137311,2.19862812,29.09624359,26.91042664,28.74426393,27.45887615,28.9610346,28.68950179,28.29521998,28.59941052,29.15216515,28.99912988,202.0853209,201.8430052,198.3261043,202.7503689,197.9444063,200.6279391,203.6911593,198.7754612,202.3264764,201.0566133
Amphiprion_sebae,1,1,28.64496596,0.891327744,203.383904,6.646410129,28.8060893,27.9306258,28.24371897,28.62957102,29.25629594,29.59759975,31.57672568,27.82361899,29.37130068,29.72972982,196.6936084,201.0821252,185.690357,191.4478611,210.8284542,201.1282788,217.646941,196.1096477,205.3082957,211.1046596
Aphanopus_carbo,0,0,14.13059039,5.002129333,262.070996,27.113616,17.92865715,16.85947504,10.03858544,12.65144764,20.09222315,21.74507768,15.6743612,14.84592204,14.96233052,10.22458317,200.0625486,249.785849,253.8151066,230.5858827,243.113344,274.7936886,281.5530885,258.9170291,332.2415592,253.1630603
Argyrosomus_regius,0,1,19.78121758,4.72286956,237.8915185,25.91384668,18.85854214,20.08594771,23.72972834,15.81973085,25.00984107,16.28202276,24.38444083,22.48502427,21.60950481,25.01794531,304.0836228,281.7591013,278.8415729,246.1061856,252.8987115,183.1496226,215.4841957,274.073647,269.5980868,218.4306779
Arnoglossus_capensis,0,0,23.64205504,4.533670963,218.8555163,14.06912264,26.14167185,20.34401803,16.93171642,23.61626628,31.9220257,29.05293157,24.3085145,13.03264466,23.95342636,17.75620191,202.0467238,197.1265531,211.4931006,225.7787329,224.0937485,211.3077286,229.3296044,198.8392239,196.2652109,207.0458122
Aulostomus_chinensis,0,0,28.5960837,1.320886352,204.5416116,5.032841258,29.59792091,28.16000459,29.45484067,28.98127531,27.02433926,29.06022705,27.7663032,28.30498859,29.91653432,28.82184017,197.5125088,209.6036261,215.5615472,201.1308538,204.2494025,216.3028185,204.8427173,201.2271541,201.8009514,210.2914665
Austroglossus_microlepis,0,0,16.86949902,1.397308814,238.6191902,16.32515253,14.95443655,16.94716106,18.06829533,14.53376928,16.65410465,14.0887494,16.95709716,15.97264703,17.48044815,14.43790699,259.4565126,240.2186506,236.267616,242.5040063,231.8375222,261.8881998,223.4525284,233.7732978,240.5458954,244.8877066
Balistes_capriscus,1,0,22.22725099,5.764906067,227.6058676,27.69602916,14.99520965,24.6914878,18.07918577,14.0005287,15.98220927,17.72458851,18.15917145,25.48562252,14.48445636,20.49330487,295.1970933,219.1883875,193.8597897,214.5864975,262.835692,217.3704453,219.1308993,219.3710087,175.8391314,232.4849652
Bregmaceros_atlanticus,0,0,26.22257872,2.983502671,209.1336549,10.53868726,25.49289864,24.4213307,26.21415032,27.25668142,28.03590316,26.13573806,31.91559099,21.1396143,25.05025429,26.56082936,209.3182942,212.8509485,233.6069304,195.9120485,212.7905245,207.539693,191.3381241,203.8944753,210.6253491,200.8741655
Brevoortia_patronus,0,0,25.23583605,1.451158084,214.4512477,8.884012532,24.35339277,25.42184239,25.29725591,24.49881086,24.77485349,28.25391105,24.77590474,26.05635213,25.98556458,26.97588323,200.6828105,198.5657307,217.2866309,216.6096224,213.8496946,225.8154669,202.2026345,199.1707479,206.9265419,224.6849023
