Order,Family,Genus,Species,Name,Sample,PC1,PC2
Elopiformes,Elopidae,Elops,affinis,Elops_affinis,A,-0.309145307,-0.042398651
Anguilliformes,Ophichthidae,Ophichthus,rufus,Ophichthus_rufus,B,0.199622084,0.008528342
Anguilliformes,Ophichthidae,Ophichthus,zophochir,Ophichthus_zophochir,C,0.025077062,-0.020658284
Osteoglossiformes,Notopteridae,Chitala,ornata,Chitala_ornata,D,-0.059270145,-0.056316451
Clupeiformes,Engraulidae,Engraulis,encrasicolus,Engraulis_encrasicolus,E,-0.219780292,-0.048882968
Clupeiformes,Clupeidae,Brevoortia,patronus,Brevoortia_patronus,F,-0.213112835,-0.064903427
Clupeiformes,Clupeidae,Harengula,thrissina,Harengula_thrissina,G,-0.21839177,-0.045165552
Clupeiformes,Dorosomatidae,Sardinella,aurita,Sardinella_aurita,H,-0.368186951,0.033894419
Gonorynchiformes,Gonorynchidae,Gonorynchus,greyi,Gonorynchus_greyi,I,-0.218602758,-0.034848923
Cypriniformes,Cyprinidae,Pimephales,promelas,Pimephales_promelas,J,-0.011080746,-0.015300706
Siluriformes,Loricariidae,Ancistrus,dolichopterus,Ancistrus_dolichopterus,K,-0.082093418,0.119009528
Siluriformes,Ictaluridae,Ameiurus,nebulosus,Ameiurus_nebulosus,L,-0.157671928,-0.030230574
Siluriformes,Ictaluridae,Pylodictis,olivaris,Pylodictis_olivaris,M,0.324678414,0.110601047
Argentiniformes,Argentinidae,Glossanodon,semifasciatus,Glossanodon_semifasciatus,N,0.015919652,-0.082993865
Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Oncorhynchus_kisutch,O,-0.0753753,-0.059243643
Stomiatiformes,Gonostomatidae,Cyclothone,microdon,Cyclothone_microdon,P,-0.221681949,-0.014160014
Aulopiformes,Synodontidae,Synodus,foetens,Synodus_foetens,Q,-0.269850311,-0.003991988
Aulopiformes,Chlorophthalmidae,Parasudis,truculenta,Parasudis_truculenta,R,-0.210103555,-0.034611351
Aulopiformes,Paralepididae,Lestidiops,affinis,Lestidiops_affinis,S,0.171611168,-0.077389171
Aulopiformes,Paralepididae,Uncisudis,advena,Uncisudis_advena,T,-0.150417425,-0.0575271
Myctophiformes,Myctophidae,Hygophum,proximum,Hygophum_proximum,U,-0.399143639,0.072584208
Myctophiformes,Myctophidae,Symbolophorus,evermanni,Symbolophorus_evermanni,V,0.142950228,-0.169445594
Myctophiformes,Myctophidae,Notolychnus,valdiviae,Notolychnus_valdiviae,W,-0.250728852,0.035087225
Zeiformes,Zeidae,Zenopsis,nebulosa,Zenopsis_nebulosa,X,-0.149384907,0.048516448
Gadiformes,Gadidae,Raniceps,raninus,Raniceps_raninus,Y,0.304432384,0.052942498
