Genus_species,Fanning,PC1,PC2
Elops_affinis,NonFanning,-0.352207354,0.041349784
Ophichthus_zophochir,NonFanning,-0.018914033,0.021342829
Chitala_ornata,Fanning,-0.10210882,0.061326646
Harengula_thrissina,NonFanning,-0.260723015,0.051696414
Sardinella_aurita,NonFanning,-0.410040776,-0.028278349
Gonorynchus_greyi,NonFanning,-0.261506449,0.036231837
Pimephales_promelas,Fanning,-0.054651528,0.020239054
Ancistrus_dolichopterus,Fanning,-0.123468109,-0.107644521
Ameiurus_nebulosus,Fanning,-0.201479911,0.030512802
Pylodictis_olivaris,Fanning,0.283195962,-0.10633803
Glossanodon_semifasciatus,NonFanning,-0.027505694,0.088599603
Oncorhynchus_kisutch,Fanning,-0.118565505,0.062269316
Cyclothone_microdon,NonFanning,-0.264102587,0.019673254
Synodus_foetens,NonFanning,-0.3126088,0.007772014
Parasudis_truculenta,NonFanning,-0.253160305,0.037213327
Lestidiops_affinis,NonFanning,0.128452659,0.086197717
Uncisudis_advena,NonFanning,-0.192656291,0.063779892
Hygophum_proximum,NonFanning,-0.441061026,-0.066457918
Notolychnus_valdiviae,NonFanning,-0.292841988,-0.027027847
Zenopsis_nebulosa,NonFanning,-0.192343678,-0.043419906
Ciliata_mustela,NonFanning,0.130578907,0.021056233
Pollachius_pollachius,NonFanning,-0.209454335,-0.018264103
Mora_moro,NonFanning,-0.24753221,0.038033005
Bregmaceros_atlanticus,NonFanning,-0.155570151,0.030092303
Bregmaceros_mcclellandi,NonFanning,-0.235845055,0.045734855
Albatrossia_pectoralis,NonFanning,-0.158647243,-0.006604416
Zu_cristatus,NonFanning,-0.141395767,0.029746481
Carapus_dubius,NonFanning,0.088579574,-0.023524361
Genypterus_tigerinus,NonFanning,0.06949467,-0.016647834
Opsanus_tau,Fanning,0.232644707,0.095010932
Porichthys_notatus,Fanning,0.185922439,-0.124909748
Calotomus_japonicus,NonFanning,0.180108465,0.130897774
Tautoga_onitis,NonFanning,0.209468052,0.098915335
Ctenolabrus_rupestris,NonFanning,0.033618263,0.070349086
Symphodus_melops,Fanning,0.191385419,0.029262802
Linophryne_arborifera,NonFanning,0.221155322,-0.132517035
Balistes_capriscus,Fanning,0.264869528,-0.04408111
Chilomycterus_schoepfii,NonFanning,0.056555177,-0.057566295
Diodon_holocanthus,NonFanning,0.242572716,0.12562669
Diodon_hystrix,NonFanning,0.185192034,0.131971529
Tetraodon_cutcutia,Fanning,0.132769876,-0.06897823
Tetraodon_palembangensis,Fanning,-0.032091492,-0.11264746
Monotrete_cochinchinensis,Fanning,0.219602602,-0.008656728
Tetraodon_turgidus,Fanning,0.212312168,-0.083271638
Acanthurus_nigroris,NonFanning,-0.242972831,0.027769047
Argyrosomus_regius,NonFanning,-0.084074044,0.035249959
Miichthys_miiuy,NonFanning,-0.02032674,0.060340229
Caulolatilus_microps,NonFanning,-0.288088349,-0.086529255
Lagodon_rhomboides,NonFanning,-0.231924844,0.011625769
Acanthopagrus_australis,NonFanning,-0.343661104,-0.007193769
Ocyurus_chrysurus,NonFanning,-0.222162393,-0.019579577
Lutjanus_peru,NonFanning,-0.194330286,0.039131057
Lutjanus_russellii,NonFanning,-0.336445318,-0.037377932
Uranoscopus_japonicus,NonFanning,0.282054144,0.091137903
Ammodytes_tobianus,NonFanning,-0.084395308,0.089144091
Ammodytes_hexapterus,NonFanning,-0.209047691,0.044110395
Ammodytoides_gilli,NonFanning,-0.170234419,0.000872083
Acropoma_japonicum,NonFanning,-0.105626899,0.049071128
Girella_nigricans,NonFanning,-0.049534735,0.045891836
Lepomis_cyanellus,Fanning,0.117802832,-0.004549126
Lepomis_macrochirus,Fanning,0.042666458,0.00607791
Lepomis_megalotis,Fanning,0.05262806,-0.005415119
Lepomis_gibbosus,Fanning,0.12044852,0.023115947
Micropterus_dolomieu,Fanning,0.138325334,0.011989981
Micropterus_salmoides,Fanning,0.046067209,-0.016763909
Etheostoma_nigrum,Fanning,-0.06767538,0.026410119
Etheostoma_radiosum,Fanning,0.048461817,-0.075436976
Etheostoma_crossopterum,Fanning,0.246393918,0.031186025
Etheostoma_flabellare,Fanning,-0.0081156,0.047649785
Harpagifer_bispinis,Fanning,0.429860983,-0.038047287
