Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Elops_affinis,NonFanning,-0.310804973,-0.304815269,-0.331207641,-0.328138504,-0.326049854,-0.330554308,-0.280802866,-0.321804155,-0.291306864,-0.274875589,0.033773281,0.032593477,0.036788552,0.052667549,0.038119126,0.085484601,0.022483917,0.0760885,0.037099793,-0.005103264
Ophichthus_rufus,NonFanning,0.160555922,0.206121275,0.198799663,0.198260259,0.144369221,0.135837297,0.242015838,0.174620341,0.163408995,0.240290495,0.013099446,-0.010946134,0.009472337,0.024046008,-0.008725561,0.015870697,-0.01538435,-0.009984274,-0.020343916,-0.0301182
Ophichthus_zophochir,NonFanning,0.073073406,0.00759213,0.008976719,0.03428804,0.001993999,0.047478181,0.003928915,0.00304934,0.042611099,0.052538563,0.004114293,0.020513932,-0.013768127,0.011789643,0.011932587,0.054130828,0.006143707,0.021898407,0.029203436,0.042871399
Chitala_ornata,Fanning,-0.106297158,-0.092770175,-0.037362633,-0.074887047,-0.045549643,-0.023216734,-0.128531036,-0.111231394,-0.081933613,-0.115886491,0.054403684,0.064196602,0.030172414,0.037358654,0.021744807,0.052966012,0.089049237,0.077870795,0.036292764,0.024331105
Engraulis_encrasicolus,NonFanning,-0.293406081,-0.20462826,-0.262284819,-0.248956644,-0.203224081,-0.207144639,-0.238990999,-0.287807885,-0.289211087,-0.239678841,0.028978083,0.051951945,0.02680349,0.029668008,0.06408768,0.031665323,0.003487748,0.088054631,0.043115146,0.044025326
Brevoortia_patronus,NonFanning,-0.198628881,-0.152552235,-0.263385658,-0.242681474,-0.208868967,-0.233246211,-0.170409871,-0.181361962,-0.188325246,-0.238358149,0.079589304,0.076105614,0.069650117,0.055354905,0.082958467,0.054592101,0.057321198,0.061280672,0.072415831,0.064220401
Harengula_thrissina,NonFanning,-0.240588172,-0.259136014,-0.222866607,-0.287977802,-0.195985803,-0.244041834,-0.196687379,-0.226886859,-0.227069698,-0.190663756,0.059234864,0.017912572,0.032622183,0.037481882,0.070112047,0.039737402,0.062009386,0.0756706,0.059187488,0.03928695
Sardinella_aurita,NonFanning,-0.373459904,-0.326286096,-0.439790461,-0.312770067,-0.337272221,-0.387814792,-0.384763432,-0.366679453,-0.347071271,-0.361334338,-0.063951861,-0.01651495,-0.043932201,-0.011199034,-0.001331761,0.004081536,-0.014273583,-0.03142433,-0.043803132,-0.046379132
Gonorynchus_greyi,NonFanning,-0.213169299,-0.282858379,-0.219797716,-0.244544397,-0.2321656,-0.223672365,-0.226382907,-0.228294507,-0.203904023,-0.180019981,0.040605301,0.038818547,0.022311771,0.0340295,0.045523307,0.041258366,0.030286128,0.048045704,0.029447054,0.045395499
Pimephales_promelas,Fanning,-0.034703505,0.017664742,-0.043137704,0.008366574,-0.067666187,-0.012715959,0.045726262,0.026915253,0.01154021,-0.042170823,0.023466437,0.021543427,0.0047537,0.033735776,0.023814969,0.056852421,0.020859235,-0.017226199,0.023280227,0.014907571
Ancistrus_dolichopterus,Fanning,-0.162775466,-0.141210691,-0.060628093,-0.10790695,-0.08073313,-0.039973382,-0.035378682,-0.072173116,-0.062362501,-0.113504516,-0.119547957,-0.128061698,-0.111334209,-0.137689553,-0.119313603,-0.111914292,-0.144535624,-0.08676082,-0.085664743,-0.131620923
Ameiurus_nebulosus,Fanning,-0.168680109,-0.150099912,-0.136060793,-0.230698531,-0.113067254,-0.108983805,-0.158458863,-0.227544655,-0.174973496,-0.170056283,0.042256318,0.030115153,0.051868562,0.054819499,0.050055308,0.03798741,0.039698722,0.011018183,0.038551091,0.004609407
Pylodictis_olivaris,Fanning,0.267907655,0.328340836,0.276894368,0.381232592,0.291136105,0.405076579,0.28883242,0.363427285,0.310827262,0.305668851,-0.131651095,-0.115073684,-0.099685251,-0.142083608,-0.125621627,-0.113820057,-0.129593855,-0.134153198,-0.092634191,-0.122992391
Glossanodon_semifasciatus,NonFanning,0.036398744,0.036821271,-0.007413849,-0.030144477,0.027835037,-0.019828093,0.004912782,-0.004799688,0.020912361,-0.033053033,0.048388035,0.1075588,0.03835256,0.104859624,0.05659459,0.080103666,0.057966472,0.079472912,0.07399407,0.090340038
Oncorhynchus_kisutch,Fanning,-0.083354812,-0.013696109,-0.128739948,-0.075823806,-0.075445476,-0.041490043,-0.088047951,-0.068400869,-0.04847913,-0.162706014,0.064239242,0.063308429,0.045058067,0.07697332,0.093673104,0.045290653,0.09398562,0.086757716,0.038367408,0.088007541
Cyclothone_microdon,NonFanning,-0.270767678,-0.217953695,-0.228544492,-0.256577152,-0.264915886,-0.232133357,-0.157645454,-0.22395067,-0.23311759,-0.18601501,0.037133441,0.00091165,-0.000411722,-0.038900762,0.003244361,-0.015935794,0.026283023,0.025665826,-0.022857719,0.020929668
Synodus_foetens,NonFanning,-0.232043499,-0.269658854,-0.285112104,-0.30446003,-0.26271287,-0.258681973,-0.246160353,-0.210610889,-0.26144019,-0.237659948,0.002472142,-0.003267429,0.003446791,0.021274962,0.010267607,-0.019734464,0.000830608,-0.016690783,0.039142698,0.042997013
Parasudis_truculenta,NonFanning,-0.229771087,-0.177765613,-0.207175328,-0.153024791,-0.178008725,-0.210445449,-0.221502831,-0.251260129,-0.206426016,-0.188217531,0.026041468,0.07321349,0.008343641,0.000682434,0.033929051,0.060280963,0.018479199,-0.001229912,0.055870095,0.012309967
Lestidiops_affinis,NonFanning,0.136799979,0.140092703,0.173595613,0.115435281,0.160535859,0.147102729,0.159374051,0.164932401,0.210746618,0.20893196,0.089607903,0.061682454,0.052556152,0.121364707,0.095164785,0.067792115,0.069019285,0.067130313,0.088477533,0.104542962
Uncisudis_advena,NonFanning,-0.168215997,-0.137040719,-0.138274738,-0.174392012,-0.103901607,-0.153527282,-0.18458676,-0.226738198,-0.137849843,-0.133706197,0.038993968,0.060735334,0.028226316,0.088062747,0.047584112,0.075163619,0.039824384,0.050366645,0.037081359,0.091892106
