,OUMV AICc,OUMV PC1 Theta - Fanning,OUMV PC1 Theta - Non Fanning,OUM AICc,OUM PC2 Theta - Fanning,OUM PC2 Theta - Non Fanning
1,-208.0515817,0.135014393,-0.064451224,-700.1215096,-0.017813948,0.009641498
2,-175.1325532,0.144339465,-0.06452863,-708.4910734,-0.018032687,0.009870521
3,-208.238518,0.134009711,-0.068625352,-705.6564658,-0.018340532,0.010153369
4,-204.3163244,0.13732452,-0.061937255,-703.7097734,-0.017750789,0.010044051
5,-198.8103385,0.141144177,-0.057877653,-710.4041385,-0.017985085,0.010295731
6,-198.4412913,0.141774532,-0.058694724,-699.9900106,-0.017618708,0.009310885
7,-209.4145063,0.133984299,-0.06534758,-705.4518176,-0.017968902,0.00984167
8,-203.0319531,0.136229383,-0.061073292,-707.9219678,-0.01790494,0.009908428
9,-204.1969248,0.133790016,-0.065132821,-705.9472568,-0.017875347,0.010383415
10,-188.5470392,0.145111705,-0.057908053,-709.1419238,-0.017897731,0.010046735
11,-192.0765071,0.14522474,-0.057668737,-704.4942475,-0.018224087,0.009702972
12,-201.0751442,0.139817315,-0.058960462,-698.4160113,-0.01773068,0.009463588
13,-206.5973604,0.134064805,-0.064611711,-705.2246999,-0.017974097,0.010058571
14,-196.9791932,0.140620672,-0.057946157,-703.8666779,-0.017875012,0.009984395
15,-207.9787257,0.133337054,-0.067176726,-704.4583792,-0.01804582,0.009867319
16,-170.3895547,0.14309075,-0.067398398,-700.7556148,-0.017736345,0.009436691
17,-206.8406013,0.13469194,-0.065078144,-704.3474755,-0.017653213,0.010055641
18,-208.7554285,0.134918788,-0.065680584,-696.1164065,-0.017172832,0.008869833
19,-200.7169732,0.139161691,-0.060274597,-706.2842866,-0.018044348,0.010118338
20,-198.2004121,0.138050293,-0.059309564,-705.1951649,-0.018034765,0.010458964
21,-198.4039201,0.140391904,-0.059774006,-707.4974571,-0.018354064,0.009812797
22,-199.5586344,0.143840556,-0.058380307,-703.6128915,-0.01815635,0.009763994
23,-195.1990725,0.144138634,-0.056465047,-693.141811,-0.016682207,0.008351104
24,-201.7009516,0.138036973,-0.060940023,-707.9489809,-0.018084064,0.010517392
25,-207.4113839,0.133777824,-0.06649312,-706.3571204,-0.017910281,0.010251448
26,-209.5914161,0.133793425,-0.06661952,-693.6191074,-0.016572564,0.008141178
27,-206.7284193,0.133232039,-0.066043944,-705.7233001,-0.018157203,0.010332036
28,-200.2984164,0.141884093,-0.057642979,-694.5837157,-0.016557663,0.00785566
29,-191.39011,0.144696282,-0.05813176,-708.2219063,-0.017986938,0.00995033
30,-209.3998423,0.133116648,-0.067633728,-705.4305397,-0.018055216,0.009940717
31,-201.7435775,0.138511165,-0.06251612,-706.7705688,-0.018342036,0.009777688
32,-198.5204949,0.140706809,-0.05863963,-700.2943691,-0.0179045,0.009680583
33,-180.7825366,0.145091194,-0.060930084,-708.2815716,-0.018066382,0.00995873
34,-207.6050735,0.133402785,-0.066209026,-706.6711183,-0.017998368,0.009989512
35,-202.8337685,0.137440288,-0.062485305,-706.5563208,-0.018059433,0.009976101
36,-206.9415377,0.134240106,-0.066865014,-705.339096,-0.018054418,0.010183123
37,-175.7606324,0.144675315,-0.065609901,-706.5153931,-0.017975442,0.009600016
38,-208.5790195,0.133060247,-0.068423974,-706.1696227,-0.01780765,0.010181451
39,-207.6335072,0.132437694,-0.06768323,-704.6355951,-0.017864824,0.010181421
40,-205.423174,0.139380063,-0.065291438,-704.1484915,-0.018228465,0.0100606
41,-195.9450406,0.142631878,-0.057834428,-697.8018673,-0.017526304,0.009332224
42,-200.2069893,0.137932513,-0.059673967,-703.369501,-0.018073156,0.009988923
43,-196.4984609,0.142421214,-0.057334676,-693.3524909,-0.016831873,0.008088892
44,-205.7980589,0.133441385,-0.066399619,-706.7897736,-0.018033038,0.010156502
45,-207.27926,0.134872262,-0.067084005,-693.3964998,-0.016656078,0.008203921
46,-207.8257589,0.134595056,-0.068263189,-705.9181681,-0.018060257,0.010133473
47,-208.4474818,0.133558655,-0.067432789,-706.8252045,-0.018135898,0.009806885
48,-204.2829883,0.136904942,-0.065797951,-705.8152594,-0.018132057,0.010014136
49,-206.6515319,0.134760795,-0.064571207,-703.896927,-0.018008893,0.009760098
50,-204.2690362,0.136886729,-0.062530425,-707.0031013,-0.01795677,0.009874288
51,-161.4326019,0.14630483,-0.074892152,-707.5748431,-0.01795334,0.009639227
52,-192.8175542,0.144682471,-0.058276611,-697.3277547,-0.01755041,0.009415635
53,-196.7973061,0.140633636,-0.057928221,-707.4900893,-0.018011157,0.010150819
54,-205.4294708,0.133345594,-0.06613042,-705.4034914,-0.018065803,0.010292707
55,-206.5516967,0.132202415,-0.068495226,-706.5343771,-0.018060461,0.010260289
56,-170.1108172,0.143324006,-0.068525382,-707.6274868,-0.018004987,0.009925205
57,-208.7471323,0.13287499,-0.063757742,-704.0258805,-0.017970329,0.009570149
58,-174.6848372,0.144530464,-0.064773605,-705.2576171,-0.018224642,0.010153937
59,-208.7415275,0.133841572,-0.068544788,-706.2797487,-0.018026656,0.010218266
60,-207.7921202,0.136104086,-0.065521169,-692.7361087,-0.016656619,0.00835111
61,-174.9114781,0.143594583,-0.065923506,-708.0282824,-0.018066261,0.010014356
62,-208.054611,0.13405546,-0.066624786,-704.9386954,-0.017779451,0.009572685
63,-207.0588156,0.134411059,-0.066980768,-703.1213407,-0.017910511,0.009952907
64,-206.6053073,0.133754035,-0.06728298,-706.2021873,-0.018153114,0.010685226
65,-194.2522262,0.14198226,-0.057996152,-708.9364583,-0.01802639,0.010557679
66,-206.7102054,0.132190216,-0.067655058,-705.7645196,-0.017968747,0.010118491
67,-207.3640737,0.136378071,-0.063175579,-699.6020338,-0.017621864,0.009164604
68,-210.6121129,0.134884352,-0.064939133,-693.136351,-0.016681052,0.008351014
69,-207.8994498,0.131761064,-0.067869945,-704.0996563,-0.017586913,0.010343075
70,-197.0613415,0.141524639,-0.058585101,-707.7965543,-0.018043033,0.010526099
71,-203.0885764,0.13782631,-0.061183522,-697.1648206,-0.017587471,0.009424358
72,-205.5492497,0.135473924,-0.06633537,-705.4821682,-0.017954751,0.010309026
73,-199.285573,0.140765842,-0.05895396,-701.6338729,-0.017795545,0.009560111
74,-188.6329456,0.145116941,-0.057584617,-710.2442958,-0.018271089,0.010467807
75,-209.3523991,0.132706237,-0.068415037,-705.9623085,-0.018360412,0.010155302
76,-208.2764466,0.132957837,-0.067128244,-701.4953494,-0.017798255,0.00974625
77,-207.0198109,0.133624604,-0.067640031,-705.0307566,-0.01812792,0.010275242
78,-199.5573027,0.138468012,-0.061147216,-706.7860668,-0.017980565,0.010443342
79,-199.1595733,0.139317051,-0.058354365,-707.1607537,-0.017965789,0.009821697
80,-206.9212827,0.134588056,-0.065327838,-704.6619504,-0.018081928,0.01018482
81,-209.9374455,0.134811847,-0.067270362,-702.0991259,-0.018205716,0.009848059
82,-199.4843301,0.139062584,-0.061472394,-708.5310987,-0.018043837,0.010678906
83,-201.4843941,0.141391364,-0.059696111,-693.3770176,-0.016658351,0.008213223
84,-186.8510559,0.145143686,-0.059155251,-706.8629615,-0.018154746,0.010231326
85,-207.5865135,0.134734856,-0.066988934,-700.6144392,-0.017812765,0.009864901
86,-205.4868162,0.135774325,-0.064495122,-700.5927915,-0.0177879,0.009760711
87,-191.2822222,0.143982726,-0.056812797,-706.1021151,-0.018052283,0.010239235
88,-196.6823912,0.14110313,-0.058937216,-706.0074001,-0.017968551,0.010191613
89,-205.8312138,0.135338083,-0.063885345,-706.966453,-0.017946999,0.00971441
90,-189.816109,0.143278761,-0.056673421,-705.7494275,-0.018127671,0.01007493
91,-205.8578228,0.134025207,-0.064377263,-704.5659842,-0.018087212,0.010098781
92,-194.83013,0.141462359,-0.059129712,-706.5186213,-0.017995985,0.010382894
93,-174.057607,0.144726396,-0.06644064,-707.5530972,-0.018094402,0.00982925
94,-205.3271848,0.136318123,-0.063864104,-706.3094815,-0.017991477,0.010284636
95,-205.3277393,0.136450037,-0.062992931,-700.0200428,-0.017761238,0.009513573
96,-187.0184274,0.144902841,-0.058595291,-708.4850888,-0.018143443,0.009775746
97,-205.7567878,0.134130011,-0.066422859,-706.2695535,-0.018044068,0.010193368
98,-163.4992796,0.149301831,-0.075270645,-705.3420439,-0.018021785,0.009776329
