,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
1,-41.08759305,-38.89151115,-43.75340431,-44.36857424,-42.60095438,-43.46263602,-156.8624339,-158.1312126,-183.6889286,-181.9769676,-182.7462229,-187.1267814
2,-40.77325511,-38.58559342,-43.49180964,-44.12649274,-42.43827909,-43.15084399,-157.2073869,-158.4629047,-183.8047861,-182.1105088,-182.784314,-187.290575
3,-40.94327655,-38.74817062,-43.6304607,-44.25640212,-42.51265765,-43.32010801,-156.9556737,-158.1992563,-183.6749431,-181.9988119,-182.7742962,-187.2096835
4,-41.1514337,-38.95603418,-44.12221766,-44.65069557,-42.84928315,-43.98088054,-154.6073598,-156.0347695,-183.2543132,-181.540414,-182.4846719,-185.3387222
5,-37.99189513,-35.80247327,-42.41328832,-42.72964113,-40.90993169,-42.86013947,-143.3131425,-145.0277311,-179.4894375,-179.0699788,-180.39239,-179.8099895
6,-41.05706505,-38.86143366,-43.74079308,-44.36235597,-42.60278692,-43.44133808,-156.9914349,-158.2863775,-183.718222,-182.0022183,-182.7531158,-187.1260627
7,-40.84223403,-38.67940868,-44.04999453,-44.66167437,-43.06086621,-44.0917049,-151.7669221,-153.0236031,-182.2442747,-180.6981421,-182.1767206,-183.854367
8,-40.96838689,-38.773972,-43.65874498,-44.28578686,-42.54526937,-43.34264788,-157.022879,-158.2960709,-183.6987321,-182.0098931,-182.7728022,-187.1874307
9,-41.02791464,-38.83562606,-43.72401181,-44.34449375,-42.59716059,-43.42992187,-157.1297613,-158.4501229,-183.8606408,-182.0864406,-182.7170842,-187.1264551
10,-41.08759182,-38.89150986,-43.75340392,-44.36857379,-42.60095453,-43.46258263,-156.8624339,-158.1312127,-183.6889286,-181.9769677,-182.7491856,-187.1267813
11,-40.77339997,-38.58146551,-43.52148869,-44.19377334,-42.44031315,-43.18477315,-157.3179991,-158.7055317,-183.9755188,-182.1127851,-182.615525,-186.7819587
12,-41.53908447,-39.35851126,-44.1930471,-44.55490667,-42.85544088,-43.72154787,-157.112065,-158.7751485,-183.813769,-182.2843985,-183.0692314,-186.5914967
13,-41.12628639,-38.92721164,-44.16260499,-44.66111538,-42.82806628,-44.07844559,-153.4944513,-154.9081696,-182.8512467,-181.2444859,-182.3934656,-184.86325
14,-40.9938118,-38.80643907,-43.68258429,-44.33875471,-42.62847828,-43.39523357,-157.1617474,-158.4271403,-183.8442948,-182.0825209,-182.7392773,-187.1787937
15,-41.05706504,-38.86143365,-43.74079312,-44.362356,-42.60278694,-43.44133812,-156.9914337,-158.2863762,-183.718222,-182.0022182,-182.7534975,-187.1260627
16,-40.97215858,-38.78065796,-43.66952426,-44.2943445,-42.55769246,-43.36704428,-157.1666986,-158.4745292,-183.8520742,-182.0893203,-182.7259227,-187.1770992
17,-40.9938104,-38.80643759,-43.68258391,-44.3387543,-42.62847616,-43.39516202,-157.1617473,-158.4271403,-183.8442948,-182.0825209,-182.7381226,-187.1787936
18,-41.28963089,-39.18317271,-44.20446889,-44.76979735,-43.37738084,-43.29492083,-144.3429191,-145.6708809,-178.8630006,-179.1869939,-181.0812772,-185.2192237
19,-41.21856616,-39.11443445,-44.17321834,-44.72997386,-43.34213178,-43.22806456,-143.4950203,-144.8381627,-178.6102603,-179.0422055,-180.9042933,-185.0133421
20,-41.08759306,-38.89151117,-43.75340431,-44.36857422,-42.60095436,-43.462636,-156.8624338,-158.1312125,-183.6889285,-181.9769676,-182.7462229,-187.1267814
21,-40.36981991,-38.21594724,-43.37599173,-43.82783988,-42.35520407,-42.35454929,-156.4658499,-157.9648407,-183.1682107,-181.6417042,-183.0989811,-187.2341823
22,-39.90519632,-37.71203061,-43.53450498,-43.93493659,-42.13430085,-43.68342861,-149.0587667,-150.5919837,-181.3632648,-180.1377765,-181.57573,-182.4576139
23,-41.95217925,-39.80777674,-44.55256589,-44.99730994,-43.46739078,-44.1479861,-152.4361079,-153.5919438,-182.5962961,-180.6770343,-181.6579395,-185.4660239
24,-40.69309849,-38.49842964,-43.94312581,-44.41443487,-42.61197848,-43.92388457,-152.2238531,-153.6959789,-182.4589546,-180.8827803,-182.128054,-184.1312999
25,-41.06903296,-38.87224142,-43.74540869,-44.364109,-42.5924844,-43.45753078,-156.9186423,-158.1940852,-183.703934,-181.9862299,-182.7442811,-187.1308763
26,-40.81999403,-38.62658514,-43.55857783,-44.20391139,-42.44398766,-43.22529657,-157.2866677,-158.6784692,-183.9500527,-182.1119797,-182.6396043,-186.892059
27,-41.05893913,-38.86241792,-43.73949581,-44.35699885,-42.5884044,-43.44669009,-156.9802875,-158.2749885,-183.7226525,-182.0005831,-182.7439367,-187.1347142
28,-40.67388828,-38.48559932,-43.43869223,-44.17098296,-42.43468316,-43.09197999,-157.3717205,-158.7411913,-184.0199589,-182.1074972,-182.5657953,-186.5771814
29,-41.22871015,-39.05341254,-43.81153725,-44.21353138,-42.56899585,-43.2592964,-157.9408471,-159.5432279,-183.9178874,-182.421781,-183.1276842,-187.2930146
30,-41.33801566,-39.17520595,-43.94796681,-44.71515304,-43.15169936,-43.71967851,-157.0020844,-158.116129,-183.778223,-181.9924243,-182.827326,-187.1645299
31,-41.01092919,-38.82649237,-43.69291102,-44.36837288,-42.6765463,-43.41407359,-157.1582183,-158.397504,-183.8383118,-182.0770135,-182.7489456,-187.187718
32,-41.22871024,-39.05341262,-43.81153723,-44.21353135,-42.56899883,-43.25929637,-157.9408472,-159.5432279,-183.9178874,-182.421781,-183.1276842,-187.2930146
33,-40.88985208,-38.69971255,-43.59316258,-44.22317144,-42.50424489,-43.27672755,-157.1975478,-158.4854564,-183.8348205,-182.0945807,-182.7430738,-187.2380538
34,-41.29659615,-39.09791798,-43.99794872,-44.59028107,-42.78210863,-43.74585849,-156.6395005,-157.9875732,-183.7207065,-181.966968,-182.7167225,-186.7832406
35,-41.05706532,-38.86143393,-43.74079319,-44.36235608,-42.60278703,-43.44133818,-156.9914339,-158.2863765,-183.718222,-182.0022183,-182.7534976,-187.1260628
36,-40.97215952,-38.780659,-43.66952454,-44.29434483,-42.55769279,-43.36703822,-157.1666973,-158.4745276,-183.8520742,-182.0893202,-182.7248023,-187.1770993
37,-41.22871145,-39.05341395,-43.81153767,-44.21353184,-42.5689993,-43.25929674,-157.9408472,-159.5432279,-183.9178874,-182.4217811,-183.1276843,-187.2953254
38,-41.23105206,-39.03649029,-43.95755171,-44.553057,-42.77265457,-43.70034012,-156.7413736,-158.1067981,-183.8337994,-182.0423601,-182.6939324,-186.7489614
39,-41.64027716,-39.50057409,-44.29906962,-44.904299,-43.53002706,-43.77822757,-153.4480877,-154.4330712,-182.6098342,-180.842028,-182.0394645,-186.3027218
40,-40.9721582,-38.7806576,-43.66952411,-44.29434435,-42.55768834,-43.36703786,-157.1666971,-158.4745276,-183.8520741,-182.0893202,-182.7259226,-187.1770991
41,-40.99294311,-38.80113757,-43.68954703,-44.31283011,-42.57209453,-43.38992292,-157.1547076,-158.4672838,-183.8556304,-182.0882735,-182.722614,-187.1611942
42,-41.17324743,-39.00915069,-43.79659142,-44.56303678,-42.99700778,-43.54808964,-157.1185563,-158.2267514,-183.7808758,-182.0180725,-182.8233001,-187.2543898
43,-41.25044605,-39.05568763,-43.98713064,-44.57828523,-42.79466657,-43.73699131,-156.6449912,-158.015898,-183.8167003,-182.0266108,-182.6890164,-186.6803386
44,-41.31921439,-39.12992075,-44.13441331,-44.74544686,-42.99339621,-43.95067304,-155.8062008,-157.1376107,-183.6035473,-181.8395121,-182.6465444,-186.090336
45,-40.97215952,-38.78065899,-43.66952458,-44.29434488,-42.55769283,-43.36703827,-157.1666974,-158.4745277,-183.8520742,-182.0893203,-182.7248023,-187.1770993
46,-40.77339855,-38.581464,-43.52148818,-44.19377282,-42.44031267,-43.18477273,-157.3179979,-158.7055306,-183.9755186,-182.1127849,-182.6155248,-186.7819585
47,-41.05916993,-38.86337355,-43.97928752,-44.57817359,-42.76255753,-43.75819934,-155.6228371,-157.1061981,-183.6324013,-181.784464,-182.4864772,-185.6123426
48,-40.97216083,-38.7806602,-43.66952527,-44.29434563,-42.55769358,-43.36703877,-157.1666974,-158.474528,-183.8520741,-182.0893201,-182.7254066,-187.1770992
49,-41.07783798,-38.88530323,-43.76132764,-44.38181095,-42.66182804,-43.40978614,-156.7874244,-158.0110824,-183.6030295,-181.948579,-182.8061713,-187.1299679
50,-40.97215962,-38.7806591,-43.6695246,-44.2943449,-42.55769284,-43.36704454,-157.1666973,-158.4745276,-183.8520742,-182.0893203,-182.7248023,-187.1770993
51,-41.07516011,-38.88407918,-43.76109844,-44.37438531,-42.66956866,-43.3870485,-156.8177168,-158.069578,-183.5933989,-181.9512625,-182.8228317,-187.1309221
52,-40.51293404,-38.33338536,-43.29767577,-43.89619171,-42.34274579,-42.81366734,-156.8397241,-157.9020837,-183.5534869,-182.2819173,-183.2358027,-187.267209
