,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
1,-24.22765093,-36.93412601,-71.69269764,-72.34210703,-71.08457214,-70.4616469,-275.229217,-296.2966665,-414.4044201,-417.0778552,-414.1893305,-413.0654404
2,28.07357181,6.345885263,-48.86305782,-48.70711851,-46.57410081,-46.60901272,-284.5618914,-305.4438044,-415.2716583,-417.0109346,-414.3927063,-413.2648478
3,-32.63076353,-43.15749275,-74.86727064,-76.14403475,-75.16660009,-74.42297623,-285.6505204,-304.6644568,-414.399297,-417.5873618,-415.1958307,-413.9996198
4,-30.66520137,-42.30348494,-74.59777517,-75.06109482,-73.86999203,-73.28945568,-283.3676117,-303.2513223,-414.3993006,-417.5131097,-414.1531736,-412.3498725
5,-30.19112755,-40.74715581,-75.58741571,-74.9250619,-73.33377018,-73.22787251,-285.0620346,-306.8568008,-414.413329,-417.0475986,-413.61714,-410.8328433
6,-14.31250349,-26.4372238,-66.89401649,-67.66342992,-65.84726157,-65.58709074,-285.3632656,-302.7730165,-414.4297856,-416.8732663,-414.1875971,-412.9659802
7,-28.26376036,-41.19312125,-73.99196235,-75.16283602,-74.53118439,-73.64946216,-282.8765915,-303.7794398,-414.3994702,-417.2414524,-413.7502595,-411.7994644
8,-23.66517109,-35.35230129,-71.0081134,-71.94300838,-70.56935658,-70.09327124,-286.8184165,-304.8438172,-414.4000949,-417.2481236,-414.249975,-412.3049155
9,-30.07927753,-39.854771,-73.68108512,-74.67012904,-73.20077327,-72.73388676,-284.3737859,-302.631639,-414.3992962,-417.5901874,-414.7076485,-413.3872156
10,26.04088733,5.563857797,-49.74280616,-49.48203158,-47.34741559,-47.35328074,-280.2171056,-300.4307057,-414.8399509,-416.7543309,-414.3191866,-413.5882019
11,10.90071948,-7.871645311,-55.2774621,-55.53185907,-53.59611333,-53.3959319,-285.2065443,-303.7466705,-414.5952169,-417.3474366,-414.8507013,-414.5754319
12,-30.93443541,-40.87839893,-75.05733513,-76.39665531,-74.97683721,-74.4745183,-282.4119464,-303.2817128,-414.3992984,-417.5732605,-414.548017,-413.7371232
13,-33.90022609,-43.2591349,-75.9216692,-76.72732841,-75.5084398,-75.03505906,-286.4128716,-306.1591885,-414.3992999,-417.4854867,-414.2543275,-412.6882938
14,85.81452227,51.95223692,-35.61190302,-77.46193925,-76.34279928,-75.67459021,-284.746933,-305.1873685,-414.393753,-417.5929482,-414.0341696,-413.8388615
15,-32.86029556,-42.89560033,-75.03190742,-76.41402674,-75.29877401,-74.62974317,-285.4504384,-304.1258513,-414.3992991,-417.5856284,-414.301391,-413.1335095
16,182.6139844,132.9596888,-34.03995125,-75.7726172,-74.53854017,-73.87081543,-231.0403817,-263.0647394,-414.1141366,-416.884194,-413.7199456,-414.221716
17,-31.88169611,-43.02098328,-74.65393703,-75.56694039,-74.53635884,-73.85681763,-286.5030744,-305.7096637,-414.3992983,-417.5290925,-414.9089525,-412.5395322
18,-28.43304524,-39.27366264,-73.91452348,-75.73727598,-74.28657052,-73.79920024,-279.8786444,-300.1513879,-414.3999817,-417.2080272,-413.1342935,-411.7975281
19,-26.70602786,-39.47409471,-73.74476964,-74.88805629,-73.58511391,-72.98307575,-283.31972,-305.7613237,-414.3993039,-417.3994702,-414.6819581,-413.6656785
20,-29.99835186,-40.36641474,-74.40963718,-74.89639727,-73.32058941,-72.88826564,-281.4789809,-301.9925019,-414.3993006,-417.5809915,-414.9539851,-413.7150241
21,-18.87680774,-31.73756284,-69.75696412,-71.10121743,-69.60596877,-69.16609827,-287.9894571,-306.7921456,-414.4161759,-416.9524417,-413.9928531,-412.9366405
22,-26.58874769,-39.21696715,-73.6487239,-74.36841656,-73.37750495,-72.63217364,-277.9259741,-300.2670551,-414.4046797,-416.8774719,-413.7619639,-412.3112011
23,-34.53528184,-42.32471246,-77.19883154,-78.45557972,-76.73579099,-76.44868838,-282.7466996,-302.2120223,-414.3993005,-417.5469553,-414.4151038,-412.7575461
24,-30.40002055,-42.6765575,-74.56131777,-75.12154985,-74.09206062,-73.4253477,-282.5676411,-303.2289318,-414.3993339,-417.4020396,-413.2837043,-413.7374317
25,-26.78914984,-40.0381028,-71.93662395,-72.10406782,-71.21843614,-70.46963908,-286.515606,-305.8110389,-414.3992981,-417.5899908,-414.7105951,-414.0057307
26,-25.50438462,-37.76421558,-70.9937212,-71.67718785,-70.50902645,-69.9414807,-286.1119246,-304.7036034,-414.3993006,-417.5874502,-414.4135824,-413.1266306
27,-29.72023282,-41.08859335,-73.67191396,-74.69034295,-73.64963773,-72.96285931,-285.206896,-303.665851,-414.3993001,-417.5898092,-414.1813365,-413.4161017
28,-28.20262265,-39.86891873,-74.1583695,-74.90926806,-73.53076609,-72.96324627,-271.4062608,-295.1217943,-414.412146,-416.9583331,-414.1711557,-413.1008012
29,-10.15481136,-22.71181213,-65.10852452,-65.56281049,-63.70872763,-63.5580714,-287.258893,-306.1859718,-414.491017,-416.7379051,-414.2326682,-413.1862562
30,-35.29415187,-44.74210357,-76.88375912,-78.16858943,-77.05840221,-76.63782723,-287.7353536,-307.5612509,-414.3997455,-417.3151141,-414.1938833,-412.0229174
31,-22.45376694,-34.90674495,-70.14938866,-71.2839705,-70.08771488,-69.51205609,-287.8165393,-306.4370108,-414.4024747,-417.1385468,-414.0275341,-412.5977973
32,-25.97882872,-35.66141945,-73.06935378,-73.88158841,-72.17027475,-71.96162143,-272.8428048,-294.658864,-414.4137308,-416.9446735,-414.4379397,-413.9264722
33,38.75823283,14.64118435,-44.81901793,-44.10326228,-41.96159739,-42.06648973,-285.0526949,-304.0847024,-415.0221551,-417.1645684,-414.7886487,-413.5711777
34,-32.61112126,-43.53843249,-75.21342489,-76.03904221,-75.13185299,-74.38618388,-287.3965457,-306.4346512,-414.3992986,-417.559659,-412.888523,-412.459994
