,OUM AICc,OUM PC1 Theta - NonSwimming,OUM PC1 Theta - Swimming,OUM AICc,OUM PC2 Theta - NonSwimming,OUM PC2 Theta - Swimming
1,-72.34210703,0.100185235,-0.067201595,-417.0772448,0.005976519,-0.0186863
2,-48.70711851,0.064878291,-0.057057902,-417.0109346,0.005405429,-0.016961907
3,-76.14403475,0.115515152,-0.075911991,-417.5873618,0.006455213,-0.020189845
4,-75.06109482,0.100871081,-0.062027854,-417.5131097,0.006261508,-0.01976569
5,-74.9250619,0.07600406,-0.042680236,-417.0467871,0.005965647,-0.018599386
6,-67.66342992,0.097889112,-0.068947108,-416.872276,0.005829744,-0.018237501
7,-75.16283602,0.10815983,-0.071478635,-417.2405255,0.0060561,-0.019059058
8,-71.94300838,0.104375985,-0.070621396,-417.2474217,0.006022447,-0.019074305
9,-74.67012904,0.110652273,-0.072599335,-417.5901874,0.006474181,-0.020226223
10,-49.48203158,0.06294769,-0.056576372,-416.7543309,0.005738385,-0.01732901
11,-55.53185907,0.079193086,-0.060859712,-417.3474366,0.007150027,-0.020036373
12,-76.39665531,0.113563334,-0.078194936,-417.5732605,0.006419813,-0.020103335
13,-76.72732841,0.109583988,-0.068107345,-417.4854867,0.006228755,-0.019676306
14,-77.45198613,-0.062415586,0.193301275,-417.5929482,0.006633003,-0.019925688
15,-76.41402674,0.118700995,-0.07788275,-417.5856285,0.006449784,-0.020177887
16,-75.77030784,-0.06312628,0.19208448,-416.8841403,0.00604788,-0.018683448
17,-75.56694039,0.108791367,-0.071458095,-417.5290925,0.006292373,-0.019843648
18,-75.73727598,0.11829063,-0.081891217,-417.207095,0.006021887,-0.019018993
19,-74.88805629,0.104423444,-0.074234603,-417.3991421,0.006079509,-0.019416434
20,-74.89639727,0.100927178,-0.067235907,-417.5809915,0.006453172,-0.020170005
21,-71.10121743,0.10338806,-0.075561712,-416.9513512,0.005879575,-0.018434774
22,-74.36841656,0.101567777,-0.06464791,-416.8757354,0.005921566,-0.018279215
23,-78.45557972,0.112666438,-0.077762028,-417.5469553,0.006346924,-0.019936142
24,-75.12154985,0.102530219,-0.06237487,-417.4020345,0.006101196,-0.01937369
25,-72.10406782,0.093968769,-0.05884839,-417.5899908,0.006473496,-0.020224739
26,-71.67718785,0.104778249,-0.065644781,-417.5874502,0.006456888,-0.020193302
27,-74.69034295,0.110198711,-0.07140886,-417.5898092,0.006471441,-0.020220844
28,-74.90926806,0.102817262,-0.068051181,-416.9578355,0.005911288,-0.018406568
29,-65.56281049,0.08885781,-0.064383042,-416.7375111,0.005716195,-0.017832241
30,-78.16858943,0.115389676,-0.074975581,-417.314779,0.006061931,-0.019202361
31,-71.2839705,0.109141552,-0.071609978,-417.137576,0.005974855,-0.018849335
32,-73.88158841,0.102065873,-0.069735444,-416.9442495,0.005905705,-0.018372079
33,-44.10326228,0.052376146,-0.05262516,-417.1645684,0.006076518,-0.018260564
34,-76.03904221,0.107279762,-0.068956411,-417.559659,0.006358188,-0.019990963
35,-72.19355884,0.103881864,-0.06987355,-417.2693868,0.006031426,-0.019118081
36,-74.74396845,0.105732642,-0.068843667,-417.5901504,0.006474423,-0.020226505
37,-48.54194513,0.074141459,-0.068077379,-417.3031356,0.005715798,-0.017843241
38,-73.17796407,0.106961235,-0.066647682,-417.5753204,0.006403211,-0.020086705
39,-78.17437098,0.120100292,-0.084940147,-417.5874786,0.006458476,-0.020195295
40,-74.58941293,0.104046253,-0.063354599,-417.5834687,0.006435622,-0.020152232
41,-71.58213181,0.100102496,-0.062370226,-416.7267016,0.005731278,-0.017827953
42,-76.94721857,0.116784239,-0.081006044,-417.2236773,0.006039199,-0.019008697
43,-68.38672626,0.098674379,-0.062686088,-416.5972719,0.00554736,-0.017621253
44,-75.80928302,0.115423206,-0.073457619,-417.5641136,0.006371349,-0.020016271
45,-75.22179855,0.107603653,-0.064955141,-417.5700931,0.006385481,-0.02005166
46,-74.74773544,0.104722003,-0.065024906,-417.569615,0.006389059,-0.020054883
47,-70.7878529,0.102196523,-0.062276495,-417.5120972,0.006240955,-0.019736502
48,-76.99736215,0.120608731,-0.075644233,-417.5641506,0.006374731,-0.020021924
49,-73.76909075,0.108354988,-0.070297886,-417.3040712,0.006067201,-0.019176973
50,-69.55417625,0.097315164,-0.065518346,-417.2859685,0.006038285,-0.019150957
51,-78.02314864,-0.063744974,0.192509687,-417.5088712,0.005260759,-0.016923128
52,-77.65193991,0.105062776,-0.071225455,-417.6395781,0.00671413,-0.020629755
53,-68.21041371,0.10425956,-0.072317412,-417.5430332,0.006400039,-0.01981562
54,-76.63775735,0.115951404,-0.074178475,-417.5880956,0.006459812,-0.020198635
55,-75.98605547,0.10928076,-0.071429203,-417.5901181,0.006473865,-0.020225508
56,-43.3079026,0.053728129,-0.053644509,-417.4829237,0.005830591,-0.01815506
57,-74.19488712,0.106630812,-0.068913379,-417.2630305,0.006055361,-0.019094757
58,-79.32464682,0.107945059,-0.066820213,-417.8198169,0.007044831,-0.021114721
59,-72.87405866,0.110975034,-0.069131174,-417.5886779,0.00646432,-0.020207243
60,-75.03770929,0.113937455,-0.072998639,-417.5904487,0.006476543,-0.020230665
61,-49.15866333,0.072080484,-0.070974222,-417.357199,0.005830956,-0.018104879
62,-74.98445427,0.106382804,-0.069455965,-417.3634185,0.006077237,-0.019300874
