,OUM AICc,OUM PC1 Theta - NonSwimming,OUM PC1 Theta - Swimming,OUMA AICc,OUMA PC2 Theta - NonSwimming,OUMA PC2 Theta - Swimming
1,-59.0861869,-0.168221205,0.178759758,-184.0175133,0.01666425,-0.008005547
2,-59.00510481,-0.16843054,0.178019463,-184.2226723,0.016938036,-0.007916297
3,-59.02756417,-0.168353498,0.178364267,-184.0926923,0.016697687,-0.007996819
4,-59.51025075,-0.1676856,0.178305843,-182.3775877,0.014047677,-0.008745479
5,-58.86808714,-0.167386174,0.170486268,-176.9562799,0.010199399,-0.010338321
6,-59.07437569,-0.168217894,0.178545022,-184.0544658,0.016450482,-0.008042422
7,-59.51371313,-0.167570616,0.177330615,-180.7276338,0.012550346,-0.00928047
8,-59.03616858,-0.168311428,0.178345199,-184.0906812,0.016735463,-0.007943561
9,-59.10866227,-0.168156448,0.178553089,-184.1218338,0.016239544,-0.008066697
10,-59.08618668,-0.168221205,0.178759758,-184.0287632,0.016432152,-0.008036059
11,-59.09499585,-0.16824134,0.176160064,-184.5113683,0.017100261,-0.008384961
12,-59.43597285,-0.167881364,0.180575275,-183.603297,0.015175867,-0.00874345
13,-59.53192617,-0.167646078,0.178214566,-181.7782581,0.013378704,-0.008992608
14,-59.08067099,-0.168214519,0.178458337,-184.1502014,0.016500411,-0.008014417
15,-59.07437572,-0.168217894,0.178545022,-184.0547229,0.016438983,-0.008113096
16,-59.07982384,-0.168214191,0.178439573,-184.1437593,0.016781261,-0.007765528
17,-59.08067072,-0.168214519,0.178458337,-184.1327486,0.016836008,-0.007865687
18,-59.60324133,-0.168209422,0.181161804,-180.4074978,0.015351147,-0.009867869
19,-59.59864713,-0.168201924,0.180978047,-180.1691618,0.015284182,-0.009942397
20,-59.08618689,-0.168221205,0.178759758,-184.0175133,0.01666425,-0.008005547
21,-58.71314615,-0.168173644,0.177347978,-183.862367,0.016495322,-0.009077237
22,-59.3480893,-0.167476101,0.175486601,-179.38484,0.011754993,-0.009474565
