Genus_species,Fanning,PC1,PC2
Elops_affinis,NonFanning,-0.31247238,0.040669915
Ophichthus_rufus,NonFanning,0.194999346,-0.006625
Ophichthus_zophochir,NonFanning,0.021519104,0.022083639
Chitala_ornata,Fanning,-0.063634503,0.056344768
Engraulis_encrasicolus,NonFanning,-0.223902451,0.047233797
Brevoortia_patronus,NonFanning,-0.217164012,0.064512511
Harengula_thrissina,NonFanning,-0.222700872,0.043809556
Sardinella_aurita,NonFanning,-0.371907467,-0.03409346
Gonorynchus_greyi,NonFanning,-0.222034363,0.034410663
Pimephales_promelas,Fanning,-0.015346109,0.015374589
Ancistrus_dolichopterus,Fanning,-0.085896516,-0.117899678
Ameiurus_nebulosus,Fanning,-0.160698528,0.030094849
Pylodictis_olivaris,Fanning,0.320316156,-0.113627399
Glossanodon_semifasciatus,NonFanning,0.011341685,0.08338295
Oncorhynchus_kisutch,Fanning,-0.079779871,0.059052924
Cyclothone_microdon,NonFanning,-0.22555965,0.013430149
Synodus_foetens,NonFanning,-0.27350919,0.002911386
Parasudis_truculenta,NonFanning,-0.214147086,0.033242329
Lestidiops_affinis,NonFanning,0.166760473,0.078709105
Uncisudis_advena,NonFanning,-0.154930914,0.056683652
Hygophum_proximum,NonFanning,-0.402833026,-0.071773841
Symbolophorus_evermanni,NonFanning,0.137385369,0.174443354
Notolychnus_valdiviae,NonFanning,-0.254717913,-0.035131607
Zenopsis_nebulosa,NonFanning,-0.153261515,-0.048460419
Raniceps_raninus,NonFanning,0.300498201,-0.052679163
Urophycis_chuss,NonFanning,0.075517573,0.018047466
Ciliata_mustela,NonFanning,0.169656465,0.015665789
Brosme_brosme,NonFanning,0.219445777,0.054754702
Eleginus_nawaga,NonFanning,0.118519606,0.022389819
Eleginus_gracilis,NonFanning,-0.109306851,0.084482025
Pollachius_virens,NonFanning,-0.112620517,0.093343823
Pollachius_pollachius,NonFanning,-0.171121097,-0.027238364
Merlangius_merlangus,NonFanning,-0.187201947,0.023664326
Arctogadus_glacialis,NonFanning,-0.183598284,0.003509169
Trachyrincus_scabrus,NonFanning,-0.065710906,0.025611704
Laemonema_longipes,NonFanning,-0.152082407,0.023319311
Mora_moro,NonFanning,-0.209447735,0.030339929
Macruronus_novaezelandiae,NonFanning,-0.051596045,0.054014867
Bregmaceros_atlanticus,NonFanning,-0.117549642,0.023663206
Bregmaceros_mcclellandi,NonFanning,-0.196297199,0.044230135
Hymenocephalus_italicus,NonFanning,-0.191953451,0.025272508
Nezumia_sclerorhynchus,NonFanning,-0.059652147,0.020229805
Nezumia_aequalis,NonFanning,-0.204395467,0.03636381
Albatrossia_pectoralis,NonFanning,-0.119658076,-0.011398342
Zu_cristatus,NonFanning,-0.102918675,0.02779281
Carapus_dubius,NonFanning,0.129123473,-0.021336381
Cherublemma_emmelas,NonFanning,-0.18571304,-0.040324221
Genypterus_capensis,NonFanning,0.02633918,-0.013018353
Genypterus_tigerinus,NonFanning,0.108988766,-0.019146975
Genypterus_blacodes,NonFanning,0.124713928,-0.067967646
Parophidion_vassali,NonFanning,0.148758754,-0.055965408
Opsanus_tau,Fanning,0.271502582,0.085572443
Porichthys_notatus,Fanning,0.225035612,-0.112996666
Calotomus_japonicus,NonFanning,0.218580288,0.125576185
Tautoga_onitis,NonFanning,0.247540526,0.091045938
Ctenolabrus_rupestris,NonFanning,0.072440093,0.065766742
Symphodus_melops,Fanning,0.231303286,0.026889377
Linophryne_arborifera,NonFanning,0.261908065,-0.135959558
Lactoria_diaphana,NonFanning,-0.125514717,0.001559879
Balistes_capriscus,Fanning,0.301395366,-0.054689819
Chilomycterus_schoepfii,NonFanning,0.095615758,-0.06908639
Diodon_holocanthus,NonFanning,0.280766625,0.117195405
Diodon_hystrix,NonFanning,0.223787496,0.120497399
Tetraodon_cutcutia,Fanning,0.172314943,-0.074453084
Tetraodon_palembangensis,Fanning,0.006189098,-0.121366111
Monotrete_cochinchinensis,Fanning,0.256261493,-0.01894074
Tetraodon_turgidus,Fanning,0.253523753,-0.084601696
Acanthurus_nigroris,NonFanning,-0.204294132,0.026408212
Leiostomus_xanthurus,NonFanning,-0.027565555,0.053306345
Argyrosomus_regius,NonFanning,-0.045929707,0.030595693
Miichthys_miiuy,NonFanning,0.017087128,0.053148898
Caulolatilus_microps,NonFanning,-0.249519824,-0.087387226
Lagodon_rhomboides,NonFanning,-0.19381889,0.005557175
Acanthopagrus_australis,NonFanning,-0.306568975,-0.016899005
Prognathodes_aculeatus,NonFanning,0.211618977,-0.018363468
Ocyurus_chrysurus,NonFanning,-0.184148102,-0.025591461
Lutjanus_peru,NonFanning,-0.157830033,0.0271102
Lutjanus_russellii,NonFanning,-0.297912782,-0.041422981
Uranoscopus_japonicus,NonFanning,0.323620454,0.10180014
Ammodytes_tobianus,NonFanning,-0.045688135,0.082324761
Ammodytes_hexapterus,NonFanning,-0.170571792,0.039255628
Ammodytoides_gilli,NonFanning,-0.131237328,-0.003878783
Acropoma_japonicum,NonFanning,-0.065892378,0.051334887
Girella_nigricans,NonFanning,-0.010518011,0.041216623
Lepomis_cyanellus,Fanning,0.155820598,-0.009969891
Lepomis_macrochirus,Fanning,0.080090385,-0.003440221
Lepomis_megalotis,Fanning,0.091178909,-0.012206807
Lepomis_gibbosus,Fanning,0.158718991,0.015124173
Micropterus_dolomieu,Fanning,0.17597752,0.004488061
Micropterus_salmoides,Fanning,0.084528954,-0.022024412
Echiichthys_vipera,NonFanning,-0.009598078,-0.059511316
Etheostoma_nigrum,Fanning,-0.029098217,0.021014341
Etheostoma_radiosum,Fanning,0.086911507,-0.081789093
Etheostoma_crossopterum,Fanning,0.282087222,0.00315921
Etheostoma_flabellare,Fanning,0.030292125,0.041971767
Notothenia_coriiceps,NonFanning,0.418835779,-0.038626467
Harpagifer_bispinis,Fanning,0.46516786,-0.046866584
Paralabrax_clathratus,NonFanning,0.149136894,0.058711819
Platycephalus_indicus,NonFanning,0.048201588,-0.050136331
Scorpaena_scrofa,NonFanning,0.157617299,0.051170081
Chelidonichthys_lucerna,NonFanning,-0.225628818,-0.032719561
Trigloporus_lastoviza,NonFanning,-0.205389198,0.00366813
Lepidotrigla_microptera,NonFanning,-0.228597827,0.004483722
Lepidotrigla_papilio,NonFanning,-0.081093602,-0.018538939
Gasterosteus_wheatlandi,Fanning,0.277660113,0.029428123
Gasterosteus_aculeatus,Fanning,0.189044876,-0.041950769
Spinachia_spinachia,Fanning,0.274165789,0.065076187
Pungitius_pungitius,Fanning,-0.028230022,0.020603955
Xiphister_atropurpureus,Fanning,-0.018798486,-0.006589275
Xiphister_mucosus,Fanning,-0.03628387,-0.059130215
Ulvaria_subbifurcata,Fanning,0.063686397,-0.064772606
Cottus_hangiongensis,Fanning,0.223313695,-0.071358145
Cottus_gobio,Fanning,0.211547453,-0.029667971
Cottus_bairdii,Fanning,0.163547739,-0.116534707
Enophrys_bison,Fanning,0.102506756,-0.068615554
Myoxocephalus_quadricornis,Fanning,0.181596112,0.007649913
Myoxocephalus_scorpius,Fanning,-0.035442605,-0.008027113
Oligocottus_snyderi,NonFanning,0.148562949,-0.137202598
Diplospinus_multistriatus,NonFanning,0.032915312,-0.035334572
Gempylus_serpens,NonFanning,-0.287991074,-0.014451148
Aphanopus_carbo,NonFanning,-0.068751889,-0.047051088
Sarda_sarda,NonFanning,-0.024839746,0.064514576
Thunnus_albacares,NonFanning,-0.281682978,-0.011018867
Euthynnus_affinis,NonFanning,-0.178892705,0.076112015
Katsuwonus_pelamis,NonFanning,-0.226873073,0.081841912
Scomber_scombrus,NonFanning,-0.05742121,0.018251842
