,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,1,-128.275647,-126.2075938,-137.1883074,-149.5248175,-149.0852209,-399.3184884,-402.4790957,-455.1312361,-457.5341096,-455.9346363
2,2,-124.8607796,-122.8373491,-134.1152996,-146.6714766,-146.0589554,-409.8961359,-411.7243759,-458.3406774,-460.508853,-458.7832705
3,3,-127.4680041,-125.4011301,-136.0335275,-148.9009757,-148.4643126,-405.6380173,-409.2337514,-457.0848256,-459.5385545,-458.0023743
4,4,-125.2782217,-123.2323447,-135.4250855,-148.1460823,-148.2637344,-391.5057262,-397.7070742,-453.4277666,-455.6688931,-454.3529016
5,5,-123.8953287,-121.8526559,-134.6193645,-147.2454914,-147.4103578,-410.3908278,-411.9274832,-459.9267329,-462.0358153,-460.2868395
6,6,-127.7527707,-125.6988278,-136.8460489,-149.2219072,-148.764283,-374.3596156,-386.3956868,-447.7075665,-450.349162,-449.1101042
7,7,-128.1718788,-126.0967048,-137.0525544,-149.4205522,-149.1671389,-410.2168409,-411.8644723,-459.5783386,-461.6254006,-459.8593475
8,8,-129.3640097,-127.3006704,-137.7841874,-149.7194257,-149.1695427,-409.3107821,-410.3329085,-458.6367643,-460.603768,-458.7956046
9,9,-124.9691069,-122.9012845,-133.9630259,-146.3572325,-145.9490162,-412.4791641,-414.2868618,-459.2263454,-461.2621144,-459.543688
10,10,-126.6760333,-124.606654,-135.5420585,-147.8800423,-147.4747976,-408.4710322,-410.5749501,-458.1129423,-460.2106848,-458.5162586
11,11,-127.75801,-125.6948354,-136.5196307,-148.9962085,-148.4921941,-407.9831591,-410.3052251,-458.0171315,-460.3296809,-458.6494866
12,12,-127.6738717,-125.6495405,-137.0119988,-149.4449473,-148.8638047,-377.7357092,-388.1678285,-448.6181693,-451.2775472,-450.0895755
13,13,-126.420896,-124.3604808,-136.135523,-148.4245536,-148.000404,-404.6880159,-406.8395565,-457.5033828,-459.6561405,-457.9506184
14,14,-127.6748256,-125.6221768,-136.2650044,-148.2368097,-147.690803,-410.3426037,-411.8682893,-458.5325846,-460.6459388,-458.8671346
15,15,-127.4250458,-125.3503485,-136.3928488,-148.9838301,-148.5819136,-405.9758659,-407.8337118,-457.1712643,-459.4179019,-457.701901
16,16,-126.9255396,-124.8599336,-135.5370495,-148.1598588,-147.6544814,-411.2492511,-412.5731533,-458.7694323,-460.8352386,-459.0616161
17,17,-127.0200512,-124.9616502,-136.4952876,-148.8274631,-148.3564769,-396.4395126,-400.7084574,-454.2069691,-456.4300822,-454.9465899
18,18,-128.2800189,-126.2793095,-137.9189597,-150.3957902,-149.684166,-374.7797467,-386.8783043,-447.9486076,-450.4710482,-449.2727833
19,19,-124.2489539,-122.2766976,-133.8178863,-146.4523482,-145.72023,-409.5107207,-412.0967165,-458.2780817,-460.4074675,-458.7821689
20,20,-126.7618883,-124.7038141,-135.4957194,-147.5913537,-147.0220269,-411.4403686,-412.711911,-458.789191,-460.9214382,-459.1336658
21,21,-127.7585585,-125.741878,-136.816465,-149.1705239,-148.4545858,-405.6968214,-408.9508769,-457.1152867,-459.4370334,-457.8874407
22,22,-109.0887053,-107.8409088,-124.4032821,-138.858622,-137.8067157,-411.4675384,-413.9626869,-460.1322218,-462.2646072,-460.6334574
23,23,-126.8749684,-124.9394252,-136.9917693,-149.5908532,-148.8188313,-304.2286193,-342.2870304,-447.2857297,-450.1893831,-446.5314877
24,24,-126.4612344,-124.386205,-135.9963127,-148.4726387,-148.2983631,-408.8599883,-409.9849978,-458.9021302,-461.0252405,-459.2207475
25,25,-126.9917223,-124.9251901,-135.7270991,-148.4129883,-147.9692214,-405.8786431,-409.224668,-457.162324,-459.3693848,-457.823158
26,26,-128.4710615,-126.4317225,-137.7717378,-150.2483025,-149.7127811,-348.2905923,-367.0198632,-447.3583807,-450.3024395,-446.0054804
27,27,-124.4994712,-122.4667432,-133.8406891,-146.2836601,-145.7393321,-410.4050941,-411.5942534,-458.5659756,-460.7447478,-458.9469342
28,28,-127.5161757,-125.4558502,-136.7744584,-149.4404552,-148.9937452,-373.0056068,-385.4859521,-447.5164714,-450.0539017,-448.7972355
29,29,-127.872499,-125.8007921,-136.3878874,-149.0248782,-148.5661479,-408.8949383,-410.6795936,-458.0315512,-460.1398745,-458.4198688
30,30,-127.8879107,-125.8385886,-136.8783569,-149.3564661,-148.8358522,-399.6505689,-401.4770463,-455.282868,-457.6781183,-455.9163821
31,31,-127.1821833,-125.1115797,-136.1949812,-148.7978944,-148.3894435,-402.1249638,-406.7302808,-456.1107886,-458.5359557,-457.119563
32,32,-124.9966252,-122.9450792,-134.1148229,-146.7730683,-146.2602536,-410.7498718,-412.3094978,-458.5791139,-460.7299951,-458.9901114
33,33,-124.5784063,-122.5104521,-133.5737608,-146.2789809,-145.9053182,-411.5326858,-413.4151513,-458.8571153,-461.0642276,-459.3550006
34,34,-126.7509807,-124.681921,-135.6659864,-148.2056756,-147.8014257,-407.9645979,-410.5125165,-457.9835652,-460.187344,-458.5532759
35,35,-127.783617,-125.716698,-136.6747632,-149.0864794,-148.6155571,-405.4695071,-407.2326536,-457.0492782,-459.3288293,-457.5917071
36,36,-126.3443123,-124.2864656,-135.3311457,-148.0380735,-147.5147844,-408.0877014,-410.73317,-457.7069382,-459.8673283,-458.2496768
37,37,-126.6941498,-124.6689278,-136.0491125,-148.5324985,-147.9005085,-400.4564848,-404.3240018,-455.3467014,-457.721423,-456.2143376
38,38,-127.3540032,-125.2776454,-136.1690377,-148.6706007,-148.3366178,-407.545401,-410.0115225,-458.1496163,-460.1726828,-458.5129547
39,39,-126.2698021,-124.2011795,-135.1959843,-147.5041692,-147.0590601,-411.0595834,-413.3869571,-458.886888,-460.9821903,-459.3230975
40,40,-123.1027999,-121.544841,-134.1631467,-147.3999941,-146.2055869,-395.8613747,-397.5177909,-454.3682966,-456.8913208,-455.1131493
41,41,-124.9134332,-122.8605787,-134.3462031,-146.7819615,-146.3065906,-409.4182607,-412.0592578,-458.4085801,-460.5511367,-458.9360868
42,42,-127.1563187,-125.0980057,-135.7819737,-148.0396146,-147.4809658,-411.2299589,-412.4185433,-458.7022783,-460.9082387,-459.0977664
43,43,-127.926773,-125.8566166,-136.6404285,-148.8845919,-148.4870519,-406.8645816,-409.114439,-457.8030889,-459.9404045,-458.252916
44,44,-126.2354773,-124.159451,-135.3650942,-147.6396954,-147.3036532,-412.3361138,-413.6447419,-459.4803261,-461.5262338,-459.7528389
45,45,-126.70194,-124.7548385,-136.4627321,-148.8472583,-148.1285242,-339.0035003,-362.6295272,-447.3526172,-450.2857983,-445.2591171
46,46,-127.5670916,-125.4920261,-136.4355924,-149.2140135,-148.8223911,-403.6203368,-406.7075736,-456.5274236,-458.7458906,-457.1868567
47,47,-125.1123377,-123.043785,-134.5740552,-147.448993,-147.301998,-412.2639426,-413.5192702,-459.6129434,-461.6298661,-459.8641286
