,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,1,-146.9636032,-150.9683208,-187.2424809,-201.9784502,-208.0515817,-595.7819332,-593.8740596,-694.6699915,-700.1215096,-698.0472076
2,2,-48.5149177,-66.79495295,-134.0296864,-165.9239813,-175.1325532,-617.0990679,-615.3573769,-703.7657575,-708.4910734,-706.4129599
3,3,-151.4811491,-154.6549869,-188.1932053,-202.5468415,-208.238518,-615.3247092,-613.2766881,-700.7503706,-705.6564658,-703.6313685
4,4,-139.0861954,-144.1570079,-182.1695484,-197.6914035,-204.3163244,-606.0617669,-604.5568006,-698.7860943,-703.7097734,-701.8578151
5,5,-122.6444261,-130.2254207,-173.6110725,-191.2110527,-198.8103385,-623.3467516,-621.4222233,-705.9767502,-710.4041385,-708.3398942
6,6,-122.8233058,-129.3452616,-173.3935734,-191.1445705,-198.4412913,-591.4395166,-592.0046914,-694.4237143,-699.9900106,-698.4094582
7,7,-150.8093457,-154.6407681,-189.2869005,-203.4235923,-209.4145063,-612.27567,-610.5161412,-700.7527279,-705.4518176,-703.3679846
8,8,-137.8203887,-142.8878807,-181.2988294,-196.3644885,-203.0319531,-619.4860707,-617.6051459,-703.4805388,-707.9219678,-705.8520907
9,9,-144.8099803,-148.2298945,-183.8945496,-198.4101159,-204.1969248,-618.9570881,-617.0624228,-701.3781744,-705.9472568,-703.8482466
10,10,-90.77479135,-102.7002901,-156.6908973,-179.931128,-188.5470392,-619.5287245,-617.5743218,-704.6280021,-709.1419238,-707.0772783
11,11,-103.287863,-113.4930731,-162.6655907,-183.7950997,-192.0765071,-606.1679124,-604.5400046,-699.2452345,-704.4942475,-702.4095532
12,12,-132.5181407,-137.4275309,-178.1294847,-194.4304731,-201.0751442,-591.0112152,-590.6492356,-692.8958592,-698.4160113,-696.708729
13,13,-146.7627544,-149.9924145,-186.580945,-200.9390861,-206.5973604,-614.7509339,-612.7142314,-700.5734698,-705.2246999,-703.1737519
14,14,-121.0320208,-128.1682744,-171.9578931,-189.556518,-196.9791932,-610.103093,-608.5038239,-699.0181601,-703.8666779,-701.7535774
15,15,-150.8410791,-154.194344,-188.1261327,-202.2191784,-207.9787257,-613.3327667,-611.3632346,-699.7203795,-704.4583792,-702.3828618
16,16,-27.74323327,-50.95357631,-124.198269,-164.0725384,-170.3895547,-595.5870546,-595.104461,-695.3465915,-700.7556148,-698.6399113
17,17,-147.5569744,-150.9454119,-186.7574961,-201.0712936,-206.8406013,-610.583738,-608.7416368,-699.7025735,-704.3474755,-702.4177002
18,18,-150.0119001,-152.7997226,-189.045119,-203.3075677,-208.7554285,-580.7902904,-580.3814092,-690.3828242,-696.1164065,-694.2270321
