,V1,V2,V3,V4,V5,V6,V7
1,1,-149.5248175,0.130171989,-0.157256209,-457.5341096,-0.01334428,0.013825361
2,2,-146.6714766,0.128061579,-0.157010271,-460.508853,-0.013574252,0.014416794
3,3,-148.9009757,0.132461171,-0.159660081,-459.5385545,-0.013781905,0.014383005
4,4,-148.1460823,0.12665539,-0.155419936,-455.6688931,-0.01269875,0.012952466
5,5,-147.2454914,0.125402831,-0.151698981,-462.0358153,-0.013477427,0.014303248
6,6,-149.2219072,0.128816843,-0.157398939,-450.349162,-0.011643682,0.011769302
7,7,-149.4205522,0.131559091,-0.157308445,-461.6254006,-0.01338245,0.014180198
8,8,-149.7194257,0.131634281,-0.158009761,-460.603768,-0.013339451,0.013881974
9,9,-146.3572325,0.128159314,-0.157553869,-461.2621144,-0.013367531,0.014514915
10,10,-147.8800423,0.129232214,-0.158483391,-460.2106848,-0.01331893,0.014233142
11,11,-148.9962085,0.131510205,-0.157932403,-460.3296809,-0.013886145,0.014350273
12,12,-149.4449473,0.129201447,-0.156146897,-451.2775472,-0.012157613,0.012108302
13,13,-148.4245536,0.126828921,-0.155192891,-459.6561405,-0.013317098,0.013931577
14,14,-148.2368097,0.130260007,-0.158164104,-460.6459388,-0.013464754,0.014441553
15,15,-148.9838301,0.130279783,-0.157702195,-459.4179019,-0.013545777,0.01413782
16,16,-148.1598588,0.130324925,-0.159380175,-460.8352386,-0.013456365,0.014450702
17,17,-148.8274631,0.128298588,-0.156808837,-456.4300822,-0.012872356,0.013497838
18,18,-150.3957902,0.128659668,-0.154496675,-450.4710482,-0.011474139,0.011733736
19,19,-146.4523482,0.128534197,-0.156678336,-460.4074675,-0.013561828,0.014334846
20,20,-147.5913537,0.130374403,-0.157099346,-460.9214382,-0.013481405,0.014564175
21,21,-149.1705239,0.13055699,-0.157225851,-459.4370334,-0.013872063,0.014207806
22,22,-138.858622,0.120206657,-0.138911183,-462.2646072,-0.013776561,0.014389391
23,23,-149.5908532,0.127993573,-0.154643541,-450.1893831,-0.010375372,0.010532444
24,24,-148.4726387,0.127673859,-0.15617607,-461.0252405,-0.013564911,0.014144702
25,25,-148.4129883,0.130277557,-0.159097789,-459.3693848,-0.01327065,0.014182462
26,26,-150.2483025,0.12848522,-0.156656519,-450.3024395,-0.010419477,0.010532444
27,27,-146.2836601,0.127230738,-0.156594199,-460.7447478,-0.01363607,0.014475986
28,28,-149.4404552,0.129621239,-0.156010403,-450.0539017,-0.01144447,0.011510255
29,29,-149.0248782,0.132213605,-0.16015101,-460.1398745,-0.013469593,0.014261996
30,30,-149.3564661,0.12931402,-0.158171809,-457.6781183,-0.013303683,0.01392121
31,31,-148.7978944,0.130449272,-0.157872566,-458.5359557,-0.013732073,0.013958199
32,32,-146.7730683,0.129229077,-0.15795165,-460.7299951,-0.0137189,0.014362463
33,33,-146.2789809,0.128849666,-0.157825387,-461.0642276,-0.013696746,0.014549634
34,34,-148.2056756,0.129720212,-0.158063986,-460.187344,-0.013497769,0.014227941
35,35,-149.0864794,0.130060376,-0.15762888,-459.3288293,-0.013537819,0.014162923
36,36,-148.0380735,0.129524279,-0.1582507,-459.8673283,-0.013544036,0.014239942
37,37,-148.5324985,0.129032112,-0.156200713,-457.721423,-0.013336636,0.013904554
38,38,-148.6706007,0.131038297,-0.158787724,-460.1726828,-0.013138383,0.014064371
39,39,-147.5041692,0.129465544,-0.15695123,-460.9821903,-0.013399329,0.014454235
40,40,-147.3999941,0.125988665,-0.151482673,-456.8913208,-0.013405682,0.013777391
41,41,-146.7819615,0.127224002,-0.155327838,-460.5511367,-0.013461944,0.014429386
42,42,-148.0396146,0.130990774,-0.157659791,-460.9082387,-0.0135901,0.014625979
43,43,-148.8845919,0.130450438,-0.158529842,-459.9404045,-0.013376297,0.014127834
44,44,-147.6396954,0.129067787,-0.156325133,-461.5262338,-0.013541422,0.01446645
45,45,-148.8472583,0.126476016,-0.154907041,-450.2857983,-0.010405934,0.010532444
46,46,-149.2140135,0.130676647,-0.159269964,-458.7458906,-0.013445633,0.013909726
47,47,-147.448993,0.128691902,-0.157295625,-461.6298661,-0.013747073,0.014213342
48,48,-144.7988577,0.125628583,-0.153343441,-460.1772738,-0.013569569,0.014220168
49,49,-147.083372,0.128080693,-0.157144945,-460.0493739,-0.013595689,0.014230002
50,50,-150.0771836,0.131272821,-0.158132315,-459.1951138,-0.013374135,0.014203076
51,51,-146.8597964,0.127731591,-0.15598273,-460.7546718,-0.013514023,0.014506655
52,52,-151.9117876,0.12930809,-0.156329821,-450.3338777,-0.010460147,0.01053243
53,53,-146.2870646,0.126826953,-0.156781318,-460.4549501,-0.013474988,0.014204821
54,54,-146.7409996,0.127803725,-0.157618664,-460.6503653,-0.013573445,0.014401163
55,55,-147.6615787,0.131341114,-0.15869798,-460.9290686,-0.013594622,0.014403082
56,56,-147.3729526,0.130307972,-0.158754747,-460.9035962,-0.013537346,0.014483737
57,57,-149.9868319,0.130753103,-0.155599765,-461.2242848,-0.013520344,0.014033792
58,58,-143.8593918,0.123690404,-0.147859788,-457.6854492,-0.013534053,0.013919528
59,59,-149.7092205,0.13137367,-0.159855894,-460.1905943,-0.013496106,0.014302896
60,60,-148.8045129,0.125124319,-0.153192823,-449.6866627,-0.010348806,0.010532444
61,61,-147.5124871,0.1266673,-0.155498244,-460.6600309,-0.013644112,0.014485313
62,62,-149.6530874,0.129940992,-0.157711283,-455.4291221,-0.012813392,0.013473716
63,63,-148.1282211,0.12787577,-0.156829027,-456.2960174,-0.013062821,0.013528548
64,64,-146.6856824,0.12901434,-0.156809545,-460.8419001,-0.01360851,0.014614689
65,65,-147.549905,0.127539791,-0.156238976,-461.0607282,-0.013443328,0.014271161
66,66,-146.5932938,0.127811862,-0.157256085,-461.9342955,-0.013496079,0.014434369
67,67,-150.1913254,0.126029166,-0.153919912,-450.414744,-0.011149604,0.010893163
68,68,-148.7913104,0.125848433,-0.154485989,-450.1820461,-0.010374249,0.010532444
69,69,-148.6486877,0.127914539,-0.158238207,-458.3275848,-0.012870705,0.014072565
70,70,-147.5655411,0.127147787,-0.155359683,-461.38322,-0.013500321,0.014366133
71,71,-147.2431465,0.128329616,-0.157475855,-461.3356921,-0.013479174,0.01429121
72,72,-147.4623429,0.129484204,-0.157537009,-459.6910331,-0.013351956,0.014255132
73,73,-147.4031263,0.127501158,-0.155983205,-453.2751075,-0.012563156,0.012787641
74,74,-143.7290929,0.125003835,-0.152263683,-461.5758548,-0.013891373,0.014453889
75,75,-149.2368226,0.132691469,-0.158120507,-460.6489081,-0.013888536,0.014161971
76,76,-149.7505161,0.131268443,-0.156863991,-454.3007253,-0.012744147,0.013148982
77,77,-148.394097,0.130215062,-0.157294914,-459.0788263,-0.013567233,0.01412673
78,78,-147.7969321,0.13043321,-0.158023517,-460.5086123,-0.013460284,0.014512833
79,79,-147.9583267,0.130384149,-0.156853882,-460.7633262,-0.013471774,0.014523608
80,80,-149.6679457,0.130785118,-0.157749605,-457.9948264,-0.013345554,0.014011975
81,81,-151.6666155,0.132837268,-0.159104288,-456.3471369,-0.013488652,0.013614796
82,82,-147.1341432,0.129452547,-0.157701559,-461.1549512,-0.013557345,0.014466285
83,83,-149.9198811,0.12772842,-0.154884739,-450.2829576,-0.010404103,0.010532444
84,84,-146.9737963,0.129849903,-0.158453832,-460.9315543,-0.013658915,0.014626442
85,85,-148.9693201,0.130151908,-0.158533692,-453.1353295,-0.012632163,0.012910372
86,86,-148.7016573,0.129659361,-0.158537361,-459.6029667,-0.013308855,0.014203263
87,87,-144.782546,0.125513596,-0.154962514,-461.2112273,-0.013541963,0.013903003
88,88,-147.2919993,0.129621527,-0.158420338,-460.8772143,-0.013490302,0.014403767
89,89,-146.2649618,0.1268721,-0.155349845,-461.8854996,-0.013489683,0.014365616
90,90,-148.5077446,0.128865926,-0.15707672,-459.5052569,-0.013565266,0.014343186
91,91,-146.8546459,0.126081428,-0.155563054,-460.0760883,-0.013615589,0.014283698
92,92,-148.9206776,0.130595041,-0.158390411,-460.1329678,-0.013430572,0.014336958
93,93,-148.8646392,0.132034766,-0.159934279,-460.1770072,-0.0136857,0.014265014
94,94,-146.8585803,0.125653339,-0.153077807,-460.7526561,-0.013415258,0.014265514
95,95,-146.8924558,0.127862228,-0.157214925,-459.6333004,-0.013381374,0.014007707
96,96,-146.5925019,0.127122375,-0.156250109,-460.731768,-0.013684687,0.01439992
97,97,-146.8894819,0.128855575,-0.157755762,-460.9043073,-0.01355066,0.014513082
98,98,-148.1425693,0.128860804,-0.155446148,-458.6025069,-0.013443032,0.01420683
99,99,-147.3557032,0.129712885,-0.156031537,-460.8184376,-0.013646957,0.014622237
100,100,-147.8835933,0.130397275,-0.158510144,-460.4617722,-0.013528134,0.01457956
,,-148.0018707,0.128857929,-0.156643773,-458.6516623,-0.013146936,0.013799463
