"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,-24.2276736456824,-36.9341215619557,-71.6926976376767,-72.3421070335161,-71.0845721387725,-275.22928166568,-296.296661285659,-414.403263612165,-417.07724475957,-414.189330483361
"2",2,28.073372795954,6.34588883439594,-48.8630578151838,-48.7071185106744,-46.5741008144646,-284.561977472314,-305.443799670543,-415.271658295679,-417.010934567995,-414.392706270226
"3",3,-32.6307877601428,-43.1574884888481,-74.8672706365313,-76.1440347500462,-75.1666000934731,-285.650591789781,-304.664452980376,-414.398003430634,-417.58736181496,-415.195830652559
"4",4,-30.6652242783994,-42.3034805572188,-74.5977751675895,-75.061094815598,-73.8699920347355,-283.367680337614,-303.251317355523,-414.398005922452,-417.513109692913,-414.153173567033
"5",5,-30.1911253140037,-40.7471342334919,-75.5874157070847,-74.9250619017134,-73.3337701808744,-285.062031663642,-306.856790634816,-414.412383387148,-417.046787061839,-413.617139958912
"6",6,-14.3125238835586,-26.4372196526828,-66.8940164887369,-67.6634299240763,-65.847261571344,-285.363336455539,-302.773011425845,-414.429281263369,-416.872275999405,-414.187597075314
"7",7,-28.2637833206689,-41.1931170662959,-73.9919623528728,-75.1628360242846,-74.5311843945342,-282.876659128747,-303.779434913305,-414.398192025296,-417.240525450147,-413.750259474944
"8",8,-23.6651681437563,-35.3522824358753,-71.008113396116,-71.9430083790978,-70.5693565833638,-286.81841353827,-304.843806228328,-414.398840623875,-417.247421661315,-414.249974960336
"9",9,-30.0793012157405,-39.854766506791,-73.681085118805,-74.6701290395668,-73.2007732726272,-284.373856817997,-302.631633534428,-414.398006139879,-417.590187352526,-414.707648457334
"10",10,26.040874122661,5.56385664670629,-49.7428061609073,-49.4820315846995,-47.3474155935103,-280.217171601224,-300.430701608377,-414.839950888352,-416.754330890996,-414.319186607664
"11",11,10.900704017521,-7.87165485051642,-55.2774620995484,-55.5318590684091,-53.5961133310777,-285.206612485929,-303.746668295955,-414.595216902374,-417.347436553174,-414.850701327278
"12",12,-30.9344335073048,-40.8783795072614,-75.0573351329529,-76.3966553059362,-74.9768372143538,-282.4119433969,-303.281704263262,-414.398006640176,-417.573260485002,-414.548017005264
"13",13,-33.9002602511009,-43.2591309875164,-75.9216692030716,-76.7273284097279,-75.5084398018995,-286.412942319191,-306.159182823014,-414.398008120735,-417.485486651906,-414.254327459623
"14",14,85.8145157254796,51.9522441822511,-35.6105213641476,-77.4519861319567,-76.3316031388235,-284.747002056646,-305.187363769542,-414.392778927908,-417.59294824743,-414.034169613023
"15",15,-32.8603299739431,-42.8955966622696,-75.0319074216893,-76.414026740636,-75.2987740094508,-285.450509666674,-304.125845745792,-414.397999723633,-417.585628470227,-414.301391032711
"16",16,182.613984714701,132.959703579933,-34.0382986119593,-75.7703078364158,-74.536012987837,-231.040426374488,-263.064719934847,-414.113689828499,-416.884140299734,-413.719945569776
"17",17,-31.8817198250405,-43.0209783677129,-74.6539370283419,-75.5669403929447,-74.5363588402403,-286.503144832829,-305.709658297952,-414.398007302539,-417.529092501048,-414.908952520809
"18",18,-28.433080373928,-39.2736604491244,-73.9145234772228,-75.7372759763178,-74.2865705236574,-279.878715846876,-300.151382128778,-414.398714572083,-417.207095006848,-413.134293470822
"19",19,-26.7060495529625,-39.474092652456,-73.7447696386965,-74.8880562857845,-73.5851139062749,-283.319786800799,-305.761319536814,-414.398008664509,-417.399142080309,-414.681958120974
"20",20,-29.9983752480519,-40.3664100470804,-74.4096371843265,-74.8963972727034,-73.3205894146333,-281.479049301513,-301.992497217171,-414.39800514636,-417.580991510245,-414.953985050532
"21",21,-18.87683746616,-31.7375777509161,-69.7569641221871,-71.1012174336403,-69.6059687747516,-287.989528525085,-306.792139368737,-414.415388492478,-416.951351230541,-413.992853060175
"22",22,-26.5887698982594,-39.2169631838912,-73.6487239002304,-74.3684165570486,-73.3775049541376,-277.926038549139,-300.26705010739,-414.403546589409,-416.875735392012,-413.761963927441
"23",23,-34.5353062541174,-42.3247073041813,-77.1988315353748,-78.4555797225973,-76.7357909900229,-282.746768150391,-302.212017171679,-414.398006280893,-417.546955287706,-414.415103831936
"24",24,-30.4000531387947,-42.676552350368,-74.5613177730769,-75.1215498545457,-74.0920606156989,-282.567709474375,-303.228925825446,-414.39803833711,-417.402034528891,-413.283704273363
"25",25,-26.7891730330618,-40.038098358431,-71.9366239471298,-72.104067822791,-71.2184361375078,-286.515676889285,-305.811033906082,-414.398006823456,-417.589990756698,-414.710595108774
"26",26,-25.5044086696205,-37.7642123985595,-70.9937212047876,-71.6771878545863,-70.5090264469497,-286.111996106109,-304.703599366535,-414.397994773943,-417.587450161785,-414.413582376372
