,V1,V2,V3,V4,V5,V6
1,1,-59.0861869,-0.168221205,0.178759758,-183.6889286,0.00542148
2,2,-59.00510481,-0.16843054,0.178019463,-183.8047861,0.005832526
3,3,-59.02756417,-0.168353498,0.178364267,-183.6749431,0.005588302
4,4,-59.51025075,-0.1676856,0.178305843,-183.2543132,0.004300978
5,5,-58.86808714,-0.167386174,0.170486268,-179.4894375,0.000467757
6,6,-59.07437569,-0.168217894,0.178545022,-183.718222,0.005455674
7,7,-59.51371313,-0.167570616,0.177330615,-182.2442747,0.003328119
8,8,-59.03616858,-0.168311428,0.178345199,-183.6987321,0.005561077
9,9,-59.10866227,-0.168156448,0.178553089,-183.8606408,0.00553201
10,10,-59.08618668,-0.168221205,0.178759758,-183.6889286,0.00542148
11,11,-59.09499585,-0.16824134,0.176160064,-183.9755188,0.005724128
12,12,-59.43597285,-0.167881364,0.180575275,-183.813769,0.004987244
13,13,-59.53192617,-0.167646078,0.178214566,-182.8512467,0.003846764
14,14,-59.08067099,-0.168214519,0.178458337,-183.8442948,0.005593348
15,15,-59.07437572,-0.168217894,0.178545022,-183.718222,0.005455674
16,16,-59.07982384,-0.168214191,0.178439573,-183.8520742,0.005602991
17,17,-59.08067072,-0.168214519,0.178458337,-183.8442948,0.005593348
18,18,-59.60324133,-0.168209422,0.181161804,-178.8630006,0.001464766
19,19,-59.59864713,-0.168201924,0.180978047,-178.6102603,0.00108978
20,20,-59.08618689,-0.168221205,0.178759758,-183.6889285,0.00542148
21,21,-58.71314615,-0.168173644,0.177347978,-183.1682107,0.005137613
22,22,-59.3480893,-0.167476101,0.175486601,-181.3632648,0.002534839
23,23,-59.62507338,-0.16785267,0.18144188,-182.5962961,0.003799144
24,24,-59.50496077,-0.167572323,0.177110085,-182.4589546,0.003532876
25,25,-59.07935116,-0.168219166,0.178632525,-183.703934,0.005436428
26,26,-59.09106638,-0.168236337,0.176769359,-183.9500527,0.005705483
27,27,-59.07776404,-0.168218306,0.178588188,-183.7226525,0.005458263
28,28,-59.10222585,-0.168244024,0.17480199,-184.0199589,0.005764006
29,29,-59.16029879,-0.168239997,0.180091893,-183.9178874,0.005626963
30,30,-59.17166815,-0.168107329,0.179153008,-183.778223,0.005372955
31,31,-59.08150206,-0.168216626,0.178516693,-183.8383118,0.005588228
32,32,-59.16029885,-0.168239997,0.180091893,-183.9178874,0.005626963
33,33,-59.04411955,-0.16830181,0.178273128,-183.8348205,0.005704372
34,34,-59.24184935,-0.167970428,0.179040364,-183.7207065,0.005086593
35,35,-59.07437579,-0.168217894,0.178545022,-183.718222,0.005455674
36,36,-59.07982397,-0.16821419,0.178439573,-183.8520742,0.005602991
37,37,-59.16029904,-0.168239996,0.180091893,-183.9178874,0.005626963
38,38,-59.26756077,-0.167939942,0.178917956,-183.8337994,0.005178686
39,39,-59.32821522,-0.167961879,0.179570647,-182.6098342,0.004076706
40,40,-59.07982372,-0.168214191,0.178439573,-183.8520741,0.005602991
41,41,-59.09009228,-0.168192164,0.178473058,-183.8556304,0.005578844
42,42,-59.09688391,-0.168225839,0.178802296,-183.7808758,0.005543093
43,43,-59.29285319,-0.167913432,0.178929053,-183.8167003,0.005118276
44,44,-59.43200736,-0.167783453,0.178846429,-183.6035473,0.004719535
45,45,-59.07982401,-0.16821419,0.178439573,-183.8520742,0.005602991
46,46,-59.09499546,-0.16824134,0.176160064,-183.9755186,0.005724128
47,47,-59.4763032,-0.167777375,0.176372474,-183.6324013,0.004734166
48,48,-59.07982434,-0.16821419,0.178439573,-183.8520741,0.005602991
49,49,-59.0572185,-0.168215958,0.178393654,-183.6030295,0.005330478
50,50,-59.07982402,-0.16821419,0.178439573,-183.8520742,0.005602991
51,51,-59.05187456,-0.168215909,0.178359404,-183.5933989,0.005322713
52,52,-58.94567556,-0.168851413,0.177616975,-183.5534869,0.005983784
53,53,-59.11207343,-0.168228294,0.179245866,-183.8146048,0.005556513
54,54,-58.99007161,-0.168235703,0.177822837,-183.5553148,0.005339396
55,55,-59.07982368,-0.16821419,0.178439573,-183.8520741,0.005602991
56,56,-59.09499576,-0.16824134,0.176160064,-183.9755187,0.005724128
57,57,-59.491778,-0.16771099,0.178559161,-183.2403148,0.004266144
58,58,-59.07935123,-0.168219166,0.178632524,-183.7039341,0.005436428
59,59,-59.09499559,-0.16824134,0.176160064,-183.9755187,0.005724128
60,60,-59.08150205,-0.168216626,0.178516693,-183.8383118,0.005588228
61,61,-58.5419078,-0.168121303,0.174498501,-183.5826918,0.005342598
62,62,-59.01337316,-0.168650162,0.178712347,-183.4437575,0.005678909
63,63,-59.01274887,-0.168209835,0.177908078,-183.6412879,0.005405458
64,64,-59.10373382,-0.16822937,0.178901693,-183.7639802,0.005536523
65,65,-59.52055256,-0.167661973,0.178111252,-183.126882,0.004169407
66,66,-59.48277763,-0.167697533,0.17834358,-183.0868859,0.004077032
67,67,-59.41496416,-0.167510865,0.176193354,-181.6941389,0.002773989
68,68,-59.16801197,-0.168062487,0.178759386,-183.8576692,0.005387504
69,69,-58.97580509,-0.16859846,0.177613314,-181.4719756,0.004192398
70,70,-59.5467226,-0.167669249,0.17848729,-183.0006804,0.004047464
71,71,-59.45659538,-0.167770634,0.179063305,-183.4149957,0.004478759
72,72,-59.07960231,-0.168678812,0.179545494,-183.0598427,0.005370296
73,73,-59.31510145,-0.16826463,0.181802513,-182.8286764,0.004769209
74,74,-59.25300664,-0.167958051,0.178944181,-183.8346976,0.005201066
75,75,-58.97136636,-0.168749511,0.175299887,-183.8578962,0.006204693
76,76,-59.13506696,-0.168129331,0.178959278,-183.702249,0.005305298
77,77,-59.16029894,-0.168239997,0.180091893,-183.9178872,0.005626963
78,78,-58.96218221,-0.168731359,0.177880648,-183.5668769,0.005892998
79,79,-59.09785313,-0.168214188,0.178883338,-183.779734,0.005512829
80,80,-59.10373407,-0.16822937,0.178901692,-183.7639802,0.005536523
81,81,-59.07982427,-0.16821419,0.178439573,-183.8520742,0.005602991
82,82,-59.31650856,-0.167938204,0.179738376,-183.7865948,0.005094539
83,83,-59.0949958,-0.16824134,0.176160064,-183.9755187,0.005724128
84,84,-58.98196668,-0.168537984,0.17782146,-183.7782459,0.005929533
85,85,-59.18993573,-0.168031098,0.178797781,-183.8627333,0.005347618
86,86,-59.08618717,-0.168221204,0.178759757,-183.6889286,0.00542148
87,87,-59.12140629,-0.168204993,0.17487727,-184.025621,0.00571554
88,88,-59.08067083,-0.168214519,0.178458337,-183.8442949,0.005593348
89,89,-59.56541325,-0.167608969,0.178442252,-182.3378665,0.003307107
90,90,-59.07982423,-0.16821419,0.178439573,-183.8520742,0.005602991
