"","x"
"1","Elops_affinis"
"2","Ophichthus_zophochir"
"3","Chitala_ornata"
"4","Harengula_thrissina"
"5","Sardinella_aurita"
"6","Gonorynchus_greyi"
"7","Pimephales_promelas"
"8","Ancistrus_dolichopterus"
"9","Ameiurus_nebulosus"
"10","Pylodictis_olivaris"
"11","Glossanodon_semifasciatus"
"12","Oncorhynchus_kisutch"
"13","Cyclothone_microdon"
"14","Synodus_foetens"
"15","Parasudis_truculenta"
"16","Lestidiops_affinis"
"17","Uncisudis_advena"
"18","Hygophum_proximum"
"19","Notolychnus_valdiviae"
"20","Zenopsis_nebulosa"
"21","Ciliata_mustela"
"22","Pollachius_pollachius"
"23","Mora_moro"
"24","Bregmaceros_atlanticus"
"25","Bregmaceros_mcclellandi"
"26","Albatrossia_pectoralis"
"27","Zu_cristatus"
"28","Carapus_dubius"
"29","Genypterus_tigerinus"
"30","Opsanus_tau"
"31","Porichthys_notatus"
"32","Calotomus_japonicus"
"33","Tautoga_onitis"
"34","Ctenolabrus_rupestris"
"35","Symphodus_melops"
"36","Linophryne_arborifera"
"37","Balistes_capriscus"
"38","Chilomycterus_schoepfii"
"39","Diodon_holocanthus"
"40","Diodon_hystrix"
"41","Tetraodon_cutcutia"
"42","Tetraodon_palembangensis"
"43","Monotrete_cochinchinensis"
"44","Tetraodon_turgidus"
"45","Acanthurus_nigroris"
"46","Argyrosomus_regius"
"47","Miichthys_miiuy"
"48","Caulolatilus_microps"
"49","Lagodon_rhomboides"
"50","Acanthopagrus_australis"
"51","Ocyurus_chrysurus"
"52","Lutjanus_peru"
"53","Lutjanus_russellii"
"54","Uranoscopus_japonicus"
"55","Ammodytes_tobianus"
"56","Ammodytes_hexapterus"
"57","Ammodytoides_gilli"
"58","Acropoma_japonicum"
"59","Girella_nigricans"
"60","Lepomis_cyanellus"
"61","Lepomis_macrochirus"
"62","Lepomis_megalotis"
"63","Lepomis_gibbosus"
"64","Micropterus_dolomieu"
"65","Micropterus_salmoides"
"66","Etheostoma_nigrum"
"67","Etheostoma_radiosum"
"68","Etheostoma_crossopterum"
"69","Etheostoma_flabellare"
"70","Harpagifer_bispinis"
"71","Paralabrax_clathratus"
"72","Platycephalus_indicus"
"73","Scorpaena_scrofa"
"74","Chelidonichthys_lucerna"
"75","Trigloporus_lastoviza"
"76","Lepidotrigla_microptera"
"77","Lepidotrigla_papilio"
"78","Gasterosteus_wheatlandi"
"79","Gasterosteus_aculeatus"
"80","Spinachia_spinachia"
"81","Pungitius_pungitius"
"82","Xiphister_atropurpureus"
"83","Xiphister_mucosus"
"84","Ulvaria_subbifurcata"
"85","Cottus_hangiongensis"
"86","Cottus_gobio"
"87","Cottus_bairdii"
"88","Enophrys_bison"
"89","Myoxocephalus_quadricornis"
"90","Myoxocephalus_scorpius"
"91","Oligocottus_snyderi"
"92","Diplospinus_multistriatus"
"93","Gempylus_serpens"
"94","Aphanopus_carbo"
"95","Sarda_sarda"
"96","Thunnus_albacares"
"97","Euthynnus_affinis"
"98","Nomeus_gronovii"
"99","Synchiropus_altivelis"
"100","Callionymus_sagitta"
"101","Odontobutis_obscura"
"102","Amblygobius_bynoensis"
"103","Rhinogobius_brunneus"
"104","Clevelandia_ios"
"105","Glossogobius_callidus"
"106","Eviota_prasina"
"107","Gobiusculus_flavescens"
"108","Pomatoschistus_minutus"
"109","Pomatoschistus_microps"
"110","Knipowitschia_punctatissima"
"111","Amblygobius_phalaena"
"112","Valenciennea_muralis"
"113","Valenciennea_longipinnis"
"114","Neogobius_melanostomus"
"115","Padogobius_bonelli"
"116","Zosterisessor_ophiocephalus"
"117","Neogobius_fluviatilis"
"118","Badis_badis"
"119","Istiophorus_platypterus"
"120","Coryphaena_hippurus"
"121","Decapterus_punctatus"
"122","Trachurus_declivis"
"123","Alectis_ciliaris"
"124","Selene_peruviana"
"125","Carangoides_bartholomaei"
"126","Caranx_caballus"
"127","Hippoglossoides_platessoides"
"128","Parophrys_vetulus"
"129","Limanda_proboscidea"
"130","Syacium_papillosum"
"131","Hypsypops_rubicundus"
"132","Dascyllus_aruanus"
"133","Dascyllus_marginatus"
"134","Chromis_dispilus"
"135","Chromis_chromis"
"136","Premnas_biaculeatus"
"137","Amphiprion_ocellaris"
"138","Amphiprion_percula"
"139","Amphiprion_melanopus"
"140","Amphiprion_clarkii"
"141","Amphiprion_sebae"
"142","Gobiesox_strumosus"
"143","Forsterygion_capito"
"144","Ruanoho_decemdigitatus"
"145","Parablennius_sanguinolentus"
"146","Polycentrus_schomburgkii"
"147","Etroplus_maculatus"
"148","Bujurquina_vittata"
"149","Symphysodon_aequifasciatus"
"150","Rocio_octofasciata"
"151","Archocentrus_multispinosus"
"152","Paraneetroplus_maculicauda"
"153","Hemichromis_bimaculatus"
"154","Tilapia_zillii"
"155","Pelmatolapia_mariae"
"156","Tylosurus_acus_acus"
"157","Strongylura_notata_notata"
"158","Hemiramphus_balao"
"159","Hemiramphus_brasiliensis"
"160","Cypselurus_comatus"
"161","Adinia_xenica"
"162","Jordanella_floridae"
