"","x"
"1","Elops_affinis"
"2","Ophichthus_rufus"
"3","Ophichthus_zophochir"
"4","Chitala_ornata"
"5","Engraulis_encrasicolus"
"6","Brevoortia_patronus"
"7","Harengula_thrissina"
"8","Sardinella_aurita"
"9","Gonorynchus_greyi"
"10","Pimephales_promelas"
"11","Ancistrus_dolichopterus"
"12","Ameiurus_nebulosus"
"13","Pylodictis_olivaris"
"14","Glossanodon_semifasciatus"
"15","Oncorhynchus_kisutch"
"16","Cyclothone_microdon"
"17","Synodus_foetens"
"18","Parasudis_truculenta"
"19","Lestidiops_affinis"
"20","Uncisudis_advena"
"21","Hygophum_proximum"
"22","Symbolophorus_evermanni"
"23","Notolychnus_valdiviae"
"24","Zenopsis_nebulosa"
"25","Raniceps_raninus"
"26","Urophycis_chuss"
"27","Ciliata_mustela"
"28","Brosme_brosme"
"29","Eleginus_nawaga"
"30","Eleginus_gracilis"
"31","Pollachius_virens"
"32","Pollachius_pollachius"
"33","Merlangius_merlangus"
"34","Arctogadus_glacialis"
"35","Trachyrincus_scabrus"
"36","Laemonema_longipes"
"37","Mora_moro"
"38","Macruronus_novaezelandiae"
"39","Bregmaceros_atlanticus"
"40","Bregmaceros_mcclellandi"
"41","Hymenocephalus_italicus"
"42","Nezumia_sclerorhynchus"
"43","Nezumia_aequalis"
"44","Albatrossia_pectoralis"
"45","Zu_cristatus"
"46","Carapus_dubius"
"47","Cherublemma_emmelas"
"48","Genypterus_capensis"
"49","Genypterus_tigerinus"
"50","Genypterus_blacodes"
"51","Parophidion_vassali"
"52","Opsanus_tau"
"53","Porichthys_notatus"
"54","Calotomus_japonicus"
"55","Tautoga_onitis"
"56","Ctenolabrus_rupestris"
"57","Symphodus_melops"
"58","Linophryne_arborifera"
"59","Lactoria_diaphana"
"60","Balistes_capriscus"
"61","Chilomycterus_schoepfii"
"62","Diodon_holocanthus"
"63","Diodon_hystrix"
"64","Tetraodon_cutcutia"
"65","Tetraodon_palembangensis"
"66","Monotrete_cochinchinensis"
"67","Tetraodon_turgidus"
"68","Acanthurus_nigroris"
"69","Leiostomus_xanthurus"
"70","Argyrosomus_regius"
"71","Miichthys_miiuy"
"72","Caulolatilus_microps"
"73","Lagodon_rhomboides"
"74","Acanthopagrus_australis"
"75","Prognathodes_aculeatus"
"76","Ocyurus_chrysurus"
"77","Lutjanus_peru"
"78","Lutjanus_russellii"
"79","Uranoscopus_japonicus"
"80","Ammodytes_tobianus"
"81","Ammodytes_hexapterus"
"82","Ammodytoides_gilli"
"83","Acropoma_japonicum"
"84","Girella_nigricans"
"85","Lepomis_cyanellus"
"86","Lepomis_macrochirus"
"87","Lepomis_megalotis"
