"","x"
"1","Ophichthus_rufus"
"2","Ophichthus_zophochir"
"3","Chitala_ornata"
"4","Engraulis_encrasicolus"
"5","Brevoortia_patronus"
"6","Sardinella_aurita"
"7","Ameiurus_nebulosus"
"8","Oncorhynchus_kisutch"
"9","Synodus_foetens"
"10","Hygophum_proximum"
"11","Symbolophorus_evermanni"
"12","Raniceps_raninus"
"13","Urophycis_chuss"
"14","Ciliata_mustela"
"15","Brosme_brosme"
"16","Eleginus_nawaga"
"17","Eleginus_gracilis"
"18","Pollachius_virens"
"19","Pollachius_pollachius"
"20","Merlangius_merlangus"
"21","Arctogadus_glacialis"
"22","Trachyrincus_scabrus"
"23","Laemonema_longipes"
"24","Mora_moro"
"25","Macruronus_novaezelandiae"
"26","Bregmaceros_atlanticus"
"27","Bregmaceros_mcclellandi"
"28","Hymenocephalus_italicus"
"29","Nezumia_sclerorhynchus"
"30","Nezumia_aequalis"
"31","Albatrossia_pectoralis"
"32","Cherublemma_emmelas"
"33","Genypterus_capensis"
"34","Genypterus_blacodes"
"35","Parophidion_vassali"
"36","Tautoga_onitis"
"37","Lactoria_diaphana"
"38","Balistes_capriscus"
"39","Chilomycterus_schoepfii"
"40","Diodon_holocanthus"
"41","Diodon_hystrix"
"42","Leiostomus_xanthurus"
"43","Argyrosomus_regius"
"44","Prognathodes_aculeatus"
"45","Lepomis_macrochirus"
"46","Micropterus_salmoides"
"47","Echiichthys_vipera"
"48","Notothenia_coriiceps"
"49","Gasterosteus_aculeatus"
"50","Spinachia_spinachia"
"51","Aphanopus_carbo"
"52","Sarda_sarda"
"53","Thunnus_albacares"
"54","Euthynnus_affinis"
"55","Katsuwonus_pelamis"
"56","Scomber_scombrus"
"57","Scomber_australasicus"
"58","Scomber_japonicus"
"59","Fistularia_commersonii"
"60","Aulostomus_chinensis"
"61","Macroramphosus_gracilis"
"62","Clevelandia_ios"
"63","Glossogobius_callidus"
"64","Eviota_prasina"
"65","Gobiusculus_flavescens"
"66","Pomatoschistus_minutus"
"67","Pomatoschistus_microps"
"68","Knipowitschia_punctatissima"
"69","Amblygobius_phalaena"
"70","Valenciennea_muralis"
"71","Valenciennea_longipinnis"
"72","Neogobius_melanostomus"
"73","Padogobius_bonelli"
"74","Zosterisessor_ophiocephalus"
"75","Neogobius_fluviatilis"
"76","Coryphaena_hippurus"
"77","Oligoplites_saurus"
"78","Elagatis_bipinnulata"
"79","Naucrates_ductor"
"80","Seriola_zonata"
"81","Pseudocaranx_dentex"
"82","Decapterus_punctatus"
"83","Trachurus_novaezelandiae"
"84","Trachurus_declivis"
"85","Trachurus_lathami"
"86","Trachurus_picturatus"
"87","Alectis_ciliaris"
"88","Selene_peruviana"
"89","Hemicaranx_amblyrhynchus"
"90","Chloroscombrus_orqueta"
"91","Carangoides_bartholomaei"
"92","Caranx_caballus"
"93","Sphyraena_barracuda"
"94","Psettodes_erumei"
"95","Citharus_linguatula"
"96","Scophthalmus_rhombus"
"97","Zeugopterus_regius"
"98","Xystreurys_liolepis"
"99","Citharichthys_fragilis"
"100","Paralichthys_dentatus"
"101","Paralichthys_olivaceus"
"102","Citharichthys_arctifrons"
"103","Etropus_microstomus"
"104","Acanthopsetta_nadeshnyi"
"105","Pleuronichthys_coenosus"
"106","Lyopsetta_exilis"
"107","Eopsetta_grigorjewi"
"108","Hippoglossus_hippoglossus"
"109","Glyptocephalus_zachirus"
"110","Glyptocephalus_cynoglossus"
"111","Microstomus_kitt"
"112","Hippoglossoides_platessoides"
"113","Hippoglossoides_elassodon"
"114","Pseudopleuronectes_americanus"
"115","Parophrys_vetulus"
"116","Lepidopsetta_mochigarei"
"117","Limanda_proboscidea"
"118","Platichthys_flesus"
"119","Pleuronectes_platessa"
"120","Achirus_mazatlanus"
"121","Zebrias_zebra"
"122","Austroglossus_microlepis"
"123","Dicologlossa_cuneata"
"124","Pegusa_nasuta"
"125","Pegusa_lascaris"
"126","Pegusa_impar"
"127","Rhombosolea_plebeia"
"128","Syacium_papillosum"
"129","Syacium_ovale"
"130","Syacium_micrurum"
"131","Cyclopsetta_panamensis"
"132","Engyophrys_sanctilaurentii"
"133","Arnoglossus_capensis"
"134","Monolene_asaedae"
"135","Hypsypops_rubicundus"
"136","Dascyllus_aruanus"
"137","Dascyllus_marginatus"
"138","Chromis_chromis"
"139","Premnas_biaculeatus"
"140","Amphiprion_ocellaris"
"141","Amphiprion_percula"
"142","Amphiprion_melanopus"
"143","Amphiprion_clarkii"
"144","Amphiprion_sebae"
"145","Symphysodon_aequifasciatus"
"146","Tilapia_zillii"
