"","x"
"1","Ophichthus_zophochir"
"2","Chitala_ornata"
"3","Sardinella_aurita"
"4","Ameiurus_nebulosus"
"5","Oncorhynchus_kisutch"
"6","Synodus_foetens"
"7","Hygophum_proximum"
"8","Ciliata_mustela"
"9","Pollachius_pollachius"
"10","Mora_moro"
"11","Bregmaceros_atlanticus"
"12","Bregmaceros_mcclellandi"
"13","Albatrossia_pectoralis"
"14","Tautoga_onitis"
"15","Balistes_capriscus"
"16","Chilomycterus_schoepfii"
"17","Diodon_holocanthus"
"18","Diodon_hystrix"
"19","Argyrosomus_regius"
"20","Lepomis_macrochirus"
"21","Micropterus_salmoides"
"22","Gasterosteus_aculeatus"
"23","Spinachia_spinachia"
"24","Aphanopus_carbo"
"25","Sarda_sarda"
"26","Thunnus_albacares"
"27","Euthynnus_affinis"
"28","Clevelandia_ios"
"29","Glossogobius_callidus"
"30","Eviota_prasina"
"31","Gobiusculus_flavescens"
"32","Pomatoschistus_minutus"
"33","Pomatoschistus_microps"
"34","Knipowitschia_punctatissima"
"35","Amblygobius_phalaena"
"36","Valenciennea_muralis"
"37","Valenciennea_longipinnis"
"38","Neogobius_melanostomus"
"39","Padogobius_bonelli"
"40","Zosterisessor_ophiocephalus"
"41","Neogobius_fluviatilis"
"42","Coryphaena_hippurus"
"43","Decapterus_punctatus"
"44","Trachurus_declivis"
"45","Alectis_ciliaris"
"46","Selene_peruviana"
"47","Carangoides_bartholomaei"
"48","Caranx_caballus"
"49","Hippoglossoides_platessoides"
"50","Parophrys_vetulus"
"51","Limanda_proboscidea"
"52","Syacium_papillosum"
"53","Hypsypops_rubicundus"
"54","Dascyllus_aruanus"
"55","Dascyllus_marginatus"
"56","Chromis_chromis"
"57","Premnas_biaculeatus"
"58","Amphiprion_ocellaris"
"59","Amphiprion_percula"
"60","Amphiprion_melanopus"
"61","Amphiprion_clarkii"
"62","Amphiprion_sebae"
"63","Symphysodon_aequifasciatus"
"64","Tilapia_zillii"
